rel_year,estimate,std_error
-22,-0.02624179834168947,0.024095055323106424
-21,-0.026225285127188077,0.01664605161448664
-20,-0.006899666783901651,0.013197405324800317
-19,-0.0046449438772587556,0.011328587737268811
-18,0.0003007210012915766,0.00907625559458347
-17,-0.002730730436504827,0.007886958206591702
-16,0.007926308880465107,0.006439674409601995
-15,0.0056829678143919295,0.00564944641487012
-14,0.007074122316945898,0.004962893728928301
-13,-0.0030533093400947372,0.0044597173831800235
-12,-0.005005826319885231,0.004203519145319174
-11,-0.0016763543509540199,0.004031873925194047
-10,-0.0016857066217906551,0.0038465729154094535
-9,-0.002196578340115447,0.00369497790453471
-8,-0.0010287620153554544,0.00369497790453471
-7,0.0038194437055403614,0.00369497790453471
-6,0.0009062925533704021,0.00369497790453471
-5,0.0028673720957341493,0.00369497790453471
-4,0.004808600575909305,0.00369497790453471
-3,0.0019247937651346836,0.00369497790453471
-2,-0.0006397199981747166,0.00369497790453471
-1,-0.003517078297521675,0.00369497790453471
0,0.014229535443878994,0.00369497790453471
1,0.04295254263645187,0.003739205490029705
2,0.04112779055353804,0.003789515868817198
3,0.0379936888073178,0.003848909127538227
4,0.042029763678927856,0.003908734116738668
5,0.049092006863373956,0.004045381078355963
6,0.05999521034135604,0.00418235782139578
7,0.0745200606187384,0.004511533265587441
8,0.08589574267892308,0.0048845788549279545
9,0.08912958704342348,0.005534724896245745
10,0.07710558868076299,0.006598702662400159
11,0.06497993924816567,0.00774978325185376
12,0.05941587555057486,0.009233568096931032
13,0.10816646201303669,0.013292694687332905
