rel_year,estimate,std_error,lower,upper,std_error_naive,std_error_uniform,crit_val
-22,-0.00974774912168814,0.02366862727026225,-0.05613740613490471,0.036641907891528436,0.021171634603462445,0.024984469893420208,3.115534414800864
-21,-0.018170468792515125,0.027457858113671185,-0.07198688178792154,0.03564594420289129,0.02651685727091098,0.027486793698169983,3.115534414800864
-20,0.031207340635138452,0.019185656369079984,-0.006395854868019812,0.06881053613829671,0.017679570284450292,0.02000554800050848,3.115534414800864
-19,0.0131400863760424,0.018477882025252516,-0.023075896904032556,0.04935606965611736,0.017397379128832713,0.020285459712293452,3.115534414800864
-18,0.026575032844955767,0.013341851054642263,4.254852907592012e-4,0.05272458039915233,0.011872216772197857,0.014102802957880446,3.115534414800864
-17,0.016410912530227813,0.011505712943834664,-0.006139870456144447,0.03896169551660007,0.010536202441725791,0.011323781240492757,3.115534414800864
-16,0.01859336206252803,0.008785936163949355,0.0013732436107192977,0.03581348051433676,0.006958871340441803,0.008672957088711984,3.115534414800864
-15,-1.2258659009598726e-4,0.0069974357176019325,-0.01383730858072996,0.013592135400537986,0.006144184175846844,0.0068463654765447066,3.115534414800864
-14,0.0016774361452673275,0.006217770492197253,-0.010509170083575171,0.013864042374109825,0.005634569389031677,0.006426661799399201,3.115534414800864
-13,-0.0029143942203222,0.005384550927408318,-0.013467920110964248,0.007639131670319847,0.005089693657656548,0.005741897002147949,3.115534414800864
-12,0.005262315861636238,0.005175234232581363,-0.004880956845782016,0.015405588569054492,0.004920897888918538,0.005252533620915575,3.115534414800864
-11,0.008218114969748098,0.0046159920582029106,-8.290632172525212e-4,0.01726529315674872,0.004275189158041669,0.004951063621866202,3.115534414800864
-10,1.1784457748035125e-4,0.005085935422889875,-0.009850405679080292,0.010086094834040993,0.004735879482916312,0.005189311461919383,3.115534414800864
-9,-0.0037787315962872037,0.0048084323894426895,-0.013203085901690748,0.00564562270911634,0.004246274990054842,0.0049427016387203915,3.115534414800864
-8,-0.007308854423752929,0.00485243600898641,-0.01681945423865157,0.0022017453911457093,0.004284412806140731,0.004703362676816751,3.115534414800864
-7,-0.002960898476763085,0.004710950141679747,-0.012194191087419252,0.006272394133893081,0.0041833842598307585,0.004717184759155413,3.115534414800864
-6,0.0026243613269236465,0.004398998046561891,-0.0059975164123997095,0.011246239066247003,0.004002822396511168,0.004399449943555697,3.115534414800864
-5,-0.0028703909354145943,0.004071752187104386,-0.010850878576111386,0.005110096705282196,0.003912013489700645,0.004034438384909881,3.115534414800864
-4,0.007480192810627072,0.004266129714515737,-8.812677831999136e-4,0.015841653404454058,0.0038189417068191854,0.004313633733026628,3.115534414800864
-3,0.008357449435054622,0.004752470585244062,-9.572217496097313e-4,0.017672120619718977,0.0039131915297858045,0.004642395456216784,3.115534414800864
-2,0.006391415548668288,0.005693227808191894,-0.004767105911169733,0.01754993700850631,0.004271292343597442,0.0053409953332333076,3.115534414800864
-1,0.004433969703789175,0.007906988105644743,-0.011063442209461108,0.019931381617039456,0.005657712072940666,0.007889320978363656,3.115534414800864
0,0.004514922434411517,0.010102221179673935,-0.01528506724160713,0.024314912110430166,0.007305623116634587,0.010565783789140677,3.115534414800864
1,-0.01431276502878728,0.012561514602567355,-0.03893288124109326,0.0103073511835187,0.008308122026652496,0.01309003131963649,3.115534414800864
2,-0.02659185372310583,0.014927239409118833,-0.055848705353585694,0.0026649979073740324,0.009408108452967714,0.015874377667429967,3.115534414800864
3,-0.03839767008190791,0.01727267091768142,-0.0722514829973759,-0.00454385716643993,0.010267584079510454,0.018715561993884307,3.115534414800864
4,-0.04590672368870123,0.020033008567628113,-0.08517069898323465,-0.0066427483941678064,0.011571800907952736,0.02156352121395878,3.115534414800864
5,-0.05389560901903198,0.02375817447150721,-0.10046077532160504,-0.007330442716458926,0.01364687216730098,0.025683006013514354,3.115534414800864
6,-0.053019640938456736,0.026797820796488896,-0.10554240456373343,-4.968773131800441e-4,0.015238766117057939,0.028296626847686072,3.115534414800864
7,-0.04317463276089222,0.02806781437472503,-0.09818653806010888,0.011837272538324436,0.01819121512319474,0.029311376681927823,3.115534414800864
8,-0.05876108601338329,0.031561951597504335,-0.1206213744262882,0.0030992023995216195,0.02111522904809348,0.03242318478779261,3.115534414800864
9,-0.0606877678214643,0.03438618603926508,-0.12808345402411786,0.006707918381189254,0.024865699889353454,0.036065972642375814,3.115534414800864
10,-0.06723058851996012,0.04472912748551986,-0.15489806745147966,0.02043689041155941,0.03170528488278415,0.046121904576345234,3.115534414800864
11,-0.12828014211464311,0.05989732057316831,-0.245676733208503,-0.010883551020783228,0.043643671129983026,0.06548608435405603,3.115534414800864
12,-0.17295651744355867,0.0705129551164476,-0.31115936991528526,-0.03475366497183205,0.05460681725217824,0.07127690051590416,3.115534414800864
13,-0.1342276410156364,0.08915101146270818,-0.3089604126678619,0.040505130636589115,0.07739150304876706,0.087715985545777,3.115534414800864
