tau-22.0,tau-21.0,tau-20.0,tau-19.0,tau-18.0,tau-17.0,tau-16.0,tau-15.0,tau-14.0,tau-13.0,tau-12.0,tau-11.0,tau-10.0,tau-9.0,tau-8.0,tau-7.0,tau-6.0,tau-5.0,tau-4.0,tau-3.0,tau-2.0,tau-1.0,tau0.0,tau1.0,tau2.0,tau3.0,tau4.0,tau5.0,tau6.0,tau7.0,tau8.0,tau9.0,tau10.0,tau11.0,tau12.0,tau13.0
-0.02438059721799701,-0.02531151105253759,-0.006541744450659119,-0.004213257224216274,0.0007268573714411001,-0.004126866363153849,0.007616966267887413,0.005421680842219756,0.006682366389447576,-0.003111506683250376,-0.004973833088450498,-0.0011462987148769877,-0.001372659312704271,-0.0020748314868068093,-0.0008486935895606134,0.003970751629796553,0.000668361583887287,0.0021772036352714517,0.004486717291570802,0.002069381407002499,-0.000662140994721896,-0.0031747045308304716,0.015350261403651724,0.045304500378046876,0.044674649667528606,0.04137071261288037,0.04622473653410531,0.054010845944939434,0.06420836582958352,0.07940922021024338,0.09257745759593505,0.10009467919301956,0.08946446326697151,0.0837542543792391,0.08184717545576169,0.128405021945273
-0.04436095921875121,-0.008757926963087973,-0.01001862313897449,-0.0007366982558204363,-0.0007590825070901228,0.0025936056461817476,0.0076959022143822265,0.007201937988539155,0.005943618144933939,-0.00109789088247626,6.512251921658636e-5,-0.006497207274936361,-0.004074255428583144,-0.0035471971924068185,-0.007423797204197109,0.0013764252427651454,-0.005810879769385534,0.005343134257204443,0.009835885707554068,0.004203752827979392,0.0016948701341115964,-0.002463164023454901,0.013908267741932172,0.03761435437744657,0.02963590986596231,0.028451485187915338,0.029869060939494395,0.033943025049744543,0.04034464467187842,0.04949558561813149,0.059620454994137234,0.029834534990092244,0.024916035603334375,-0.010337696962080568,-0.03926465979731285,-0.05339594661552253
-0.0515825996987083,-0.039605240900459374,-0.024630986357666602,-0.009623851344355509,-0.017553794208760534,0.0004256097902424241,0.007072648369853622,0.009598162166365012,0.008353107401237937,-0.0012096352495040235,-0.0036272971374290406,-0.0029846346816113215,-0.0008199522190676969,-0.002418903083640277,-0.005659505998206639,0.0004539434678133793,-0.004098734815800369,0.00047847495203372686,0.006281350024246189,0.006974363122733962,0.005262277896572245,0.0071865559675425485,0.028112302470436463,0.0640309500425417,0.06501567357668785,0.06591099290725257,0.07666505369561714,0.08387942781780652,0.0991261178768556,0.11628286781952668,0.131591840140411,0.1296422818336936,0.12894599739540366,0.13123827246217615,0.11093092996484125,0.151065539930717
-0.025248994900686165,-0.024812389102546364,0.006005565456660186,0.007818434515607382,0.007890133706721095,0.004608323599404401,0.00694636248615066,0.008124969262050159,0.007381294973769417,0.0017927675553087064,-0.00403585328573319,-0.001998648284882509,-0.002505704540574427,-0.003491939838902177,-0.00212525895379224,0.0013435045911862635,-0.00032228309235556447,0.008445418403997516,0.012159445353512923,0.003554744616478535,0.003180585532155253,0.001693655286208444,0.016860780351645815,0.04405304009877815,0.0422374390745359,0.03593251651592901,0.03445715777546237,0.0391439812404972,0.0485848856052551,0.06874841780542382,0.09011533807708884,0.0816773529073335,0.04963407437302924,0.008724867117656784,-0.020642858752229192,0.054349458478967376
-0.04729851944618426,-0.03458419378759855,-0.01418572964575471,0.005019421705666172,0.007143093574424686,0.004770130430551375,0.007924083319456135,0.006821740637104251,0.005844438659011725,0.002954758431989357,-0.00030180804899771147,0.0003072888268067396,-0.004893415781245354,-0.005927200998268563,-0.006166779323821524,-0.0006759322002919571,-0.0015822429266106066,0.003871945861282816,0.00458169145935107,0.005926158837007679,0.006007172281294139,0.001596151605573097,0.026408092574234352,0.05277363034413158,0.0571281511500674,0.06172581520058319,0.07055275936417951,0.08012576790831477,0.09389114074357728,0.11836964831952057,0.13795927436231423,0.13672392645473108,0.147701360414254,0.1616212221022277,0.1297690860567931,0.09256556578324147
-0.04450554848690975,-0.033230301678594115,-0.008101596668500308,-0.004224753840340054,-0.0007572296237772921,-0.008774973153165631,0.003910601679677289,0.0023167671872742377,0.0048017402899465066,-0.0022902963419994355,-0.007225311107046592,-0.0010190361930396213,-0.00011692395756952727,0.003077885604335735,-0.00033583106142299807,0.0012100637872478623,-0.0022883705886662365,-0.0024243085616065282,0.0042687565378413716,0.0028009695876381503,0.0033686704392624405,0.0032012927827877883,0.027431176766828953,0.055402958392591926,0.06025303366651198,0.060345118289436575,0.06654285514961526,0.07490201396842015,0.08257142353483789,0.09634960616262236,0.11886781327601294,0.134196114200267,0.14320940406498853,0.1346325621002823,0.13262304987278356,0.15761306499426012
-0.021869067849462864,-0.029680310113976132,-0.013185579289352224,-0.008918959181529289,-0.0050057994653712025,0.00026478276362336384,0.0026918506260500347,0.0037042330490857124,0.006735252407336784,-0.0033664908463758953,-0.0009275848952575682,-0.004250955531565801,-0.0022163761910825204,-0.0038100532274649443,-0.002685808163831257,-0.0011233248531878702,-0.001580464703003404,0.0004304748444659347,0.005252654288365592,0.006604806762647674,0.0029945630107935106,0.0032231859331469195,0.028233688597223104,0.054179706087965476,0.04630414832347318,0.04893686548459577,0.05256553623187971,0.0643340474272863,0.06922145224303153,0.08195122595968414,0.08771316125318723,0.06661556559749614,0.06051876861061128,0.051038703223482154,0.004496043630257676,-0.01682592955406293
-0.033241416394025815,-0.041687900681831994,-0.023221491537608135,-0.007872259612697762,-0.002985601709182423,-0.012915126514575357,-0.003709124799030737,0.001924685895782104,0.0044349227540160735,-0.006064033288234496,-0.0015481828942175689,0.00023765177430821698,0.0042877630769532485,-0.00021867963243391784,0.0015251585094874659,0.009472093369195645,0.004049173514746025,0.002384655202337084,0.004604379337468649,0.0034103433152995292,0.003129359727927264,-0.004374748642754413,0.018558032425014633,0.04264435866935931,0.034251318786664015,0.025827016850752692,0.023397031248228794,0.016360683033932937,0.02049172842686072,0.026812111289982746,0.028709191814575742,-0.00137196160186007,-0.021528882439902967,-0.05090050591161872,-0.043859412844187755,-0.07053658607736905
-0.015652080283927255,-0.0011026668939536491,0.013293838050296556,0.0067110083503803064,-0.005491374262015576,-0.01629368347394398,-0.0020050336429048216,0.0038731953477230503,0.0015056285551077158,-0.007496599980886962,-0.0061489126447591335,-0.003480670096996844,-0.00027118938847487236,0.000906981757390572,0.0031746897685246546,0.003769505589704288,0.003479658364170823,0.0014018992978059482,0.0026906619269028106,0.002787708091060567,-0.0023831806245784262,-0.008027987520214547,0.0045589885545950825,0.030142630486738615,0.028433069066942672,0.01951847688659638,0.0274815460734717,0.034791694634414394,0.04920415308424828,0.05542469576898972,0.07131007528173024,0.07448181164058533,0.06769277199334701,0.059542494252595085,0.04838218749909209,0.04075934870878123
-0.025399287242017343,-0.02242969997166332,-0.00925585542451152,0.010138607279352141,0.014471014105681934,-0.0030211678744093036,0.008121380765090115,0.004668896839303263,0.010293593162822395,0.0018617544327329723,0.0021143365604781895,-0.0038753880642717806,-0.0025847749629931,-0.0019650662295217906,-0.0005283609175360736,8.786136278052793e-5,-0.0008329625247863722,-0.00018381680586185162,0.004469936498811489,0.0025004494901301197,-0.00013523401123519127,-0.0012659829930418878,0.019104921619952843,0.03937629744743843,0.030682882203007175,0.0301066874010348,0.034968012356359685,0.04292329253246123,0.05055499651831684,0.060349760338465556,0.06714288270453449,0.05871326071358117,0.0441660320736084,0.038194455314821,0.07832714009984906,0.11601370580684164
