rel_year,estimate,std_error,lower,upper,std_error_naive,std_error_uniform,crit_val
-22,-0.024383409014382424,0.01857908216142155,-0.06079774091657923,0.012030922887814387,0.014382643650556044,0.018922269565510977,3.0554358717185566
-21,-0.025314154388924707,0.012727198141462288,-0.0502590043702959,-3.693044075535161e-4,0.011265610705999326,0.012516601617321594,3.0554358717185566
-20,-0.006544920885840162,0.009558143539043202,-0.025278537981429046,0.012188696209748724,0.0073819658847071,0.010190905124782282,3.0554358717185566
-19,-0.004216732031176116,0.009289682161555927,-0.02242417449564993,0.013990710433297698,0.007269229750278514,0.0090606198316612,3.0554358717185566
-18,7.239379554009472e-4,0.0070644070826070965,-0.013122045498638634,0.014569921409440528,0.005967400775972613,0.006955917537054379,3.0554358717185566
-17,-0.004129803941164582,0.0054085642646349305,-0.014730395107919405,0.006470787225590241,0.00416889390961923,0.005566627193686453,3.0554358717185566
-16,0.007614138143937334,0.0043473393287660434,-9.064903690186431e-4,0.016134766656893312,0.0031228980020152866,0.004304952734906784,3.0554358717185566
-15,0.0054189568341917954,0.0038547257345986916,-0.0021361667759013415,0.012974080444284932,0.0027612848601152543,0.003753897864072918,3.0554358717185566
-14,0.006679812642555617,0.0031256625342293573,5.536266476398833e-4,0.012805998637471349,0.0025481069787917764,0.0031891583373740155,3.0554358717185566
-13,-0.0031135711429263993,0.0028019845422781998,-0.008605359931029618,0.0023782176451768197,0.0025188081401975033,0.002887936424047675,3.0554358717185566
-12,-0.004975753640931227,0.002422407921872856,-0.00972358592366654,-2.279213581959129e-4,0.0021427130611311723,0.0024448664730405923,3.0554358717185566
-11,-0.0011480895232474457,0.0030996257788646155,-0.0072232444153740045,0.004927065368879113,0.0018444658023902519,0.0031532891816154133,3.0554358717185566
-10,-0.0013743349595552073,0.002678649827081751,-0.006624392147829882,0.003875722228719467,0.0017890802150502141,0.00256892446613289,3.0554358717185566
-9,-0.002076382170475408,0.0021796480709609877,-0.006348413888531147,0.002195649547580331,0.0018539471416808002,0.002158880843979413,3.0554358717185566
-8,-8.500921323330438e-4,0.0022966829778957,-0.005351508052914816,0.003651323788248728,0.0017070589082573964,0.0023152766095328675,3.0554358717185566
-7,0.003969643061326451,0.0022498082516505796,-4.399000840297103e-4,0.008379186206682612,0.001708976320183968,0.0022131456372427236,3.0554358717185566
-6,6.674886573860392e-4,0.0023076400644491558,-0.003855402758215994,0.005190380072988072,0.0017267885259133753,0.0022972438341734877,3.0554358717185566
-5,0.002176587195773054,0.003098396426427815,-0.00389615820985307,0.008249332601399179,0.0017396993394705451,0.002960276351258383,3.0554358717185566
-4,0.004486172734613357,0.0025892118746238917,-5.885892879929069e-4,0.00956093475721962,0.0017133713385193915,0.0023991077092026455,3.0554358717185566
-3,0.0020689677587129984,0.0018180086851105634,-0.0014942637876847252,0.005632199305110722,0.0015888905002050995,0.0018058142455395314,3.0554358717185566
-2,-6.624174663340593e-4,0.001986729053344174,-0.0045563348579279956,0.003231499925259877,0.0014314491146667893,0.0020046630287480815,3.0554358717185566
-1,-0.0031748329048433507,0.0032265629320122812,-0.00949878004543938,0.003149114235752678,0.0016872399903436863,0.003290597341367217,3.0554358717185566
0,0.015350257663420028,0.006084703950047062,0.003424457064739185,0.02727605826210087,0.003182602538428686,0.006010696237899806,3.0554358717185566
1,0.0453044952776357,0.009839873592249682,0.02601869742439956,0.06459029313087183,0.004270599341777531,0.00962178922156398,3.0554358717185566
2,0.044674644862508085,0.013065862561228948,0.019066024815549087,0.07028326490946708,0.004559787594474187,0.012899114294843098,3.0554358717185566
3,0.041370703725889545,0.013869142436438829,0.014187684054013352,0.06855372339776573,0.005131720752999152,0.013717860285855752,3.0554358717185566
4,0.04622473267377517,0.015955412794472053,0.014952698238140376,0.07749676710940998,0.005172418010201001,0.015575363418137948,3.0554358717185566
5,0.054010840000802446,0.018747491883913236,0.017266431107875548,0.09075524889372935,0.005688386965731526,0.01876875968088492,3.0554358717185566
6,0.06420837042705191,0.017167489166362345,0.030560709956000166,0.09785603089810366,0.006016665483668573,0.016862304773241528,3.0554358717185566
7,0.07940923078930923,0.020485656193683463,0.03925808245001976,0.1195603791285987,0.007117075196635525,0.019677523109528965,3.0554358717185566
8,0.0925774748270481,0.025042447974956243,0.043495178711415866,0.14165977094268034,0.008130305116943662,0.02423455869872261,3.0554358717185566
9,0.10009470331392283,0.03508894569721587,0.03132163349189804,0.1688677731359476,0.010589825772806774,0.03552928286596635,3.0554358717185566
10,0.08946447618532545,0.04237391843420464,0.0064131221704464975,0.1725158302002044,0.01416715158120603,0.04120475487665953,3.0554358717185566
11,0.08375425928207951,0.05937568392179922,-0.032619942762080884,0.2001284613262399,0.018195325862924897,0.06104845387581107,3.0554358717185566
12,0.08184714691683052,0.07481737563490448,-0.06479221474538678,0.22848650857904784,0.025009537991126946,0.07717182390499051,3.0554358717185566
13,0.12840499951726544,0.06922024584598702,-0.007264189341877364,0.2640741883764083,0.038012106790715955,0.07032239680657079,3.0554358717185566
