signal_to_noise,instrument_noise,did2s_cov_bias_tau6,did2s_cov_bias_tau7,did2s_cov_bias_tau8,did2s_cov_bias_sd_tau6,did2s_cov_bias_sd_tau7,did2s_cov_bias_sd_tau8,generalized_bias_tau6,generalized_bias_tau7,generalized_bias_tau8,generalized_bias_sd_tau6,generalized_bias_sd_tau7,generalized_bias_sd_tau8
0.005,199.0,-4.778815269470215,-6.370657444000244,-7.963052749633789,0.933279275894165,1.2432230710983276,1.555980920791626,0.030320443212985992,0.053439728915691376,0.07675286382436752,0.17776912450790405,0.2391638308763504,0.2979834973812103
0.01,99.0,-4.65359354019165,-6.215539932250977,-7.771876811981201,0.963471531867981,1.2830901145935059,1.6062852144241333,0.01751616597175598,0.024623924866318703,0.035692792385816574,0.1721896380186081,0.2421782910823822,0.31310606002807617
0.02,49.0,-4.473646640777588,-5.976958751678467,-7.47139835357666,0.9276737570762634,1.2526509761810303,1.5582016706466675,0.02392401546239853,0.024292370304465294,0.0350857637822628,0.1900467425584793,0.2757588028907776,0.34125062823295593
0.05,19.0,-4.027318954467773,-5.3814592361450195,-6.717025279998779,0.9750432968139648,1.2934234142303467,1.6079636812210083,0.019906848669052124,0.01727874204516411,0.039728932082653046,0.17355890572071075,0.24491238594055176,0.31567978858947754
0.1,9.0,-3.3003628253936768,-4.403719425201416,-5.505208969116211,0.8966670036315918,1.1936120986938477,1.4947121143341064,0.004057737533003092,0.01805702969431877,0.032858461141586304,0.16814671456813812,0.24468138813972473,0.3023931682109833
0.15,5.666666666666667,-2.7157907485961914,-3.6142349243164062,-4.51213264465332,0.7626290321350098,0.9983484745025635,1.2441315650939941,0.02463694103062153,0.04052285850048065,0.053525954484939575,0.16381756961345673,0.24197840690612793,0.30196261405944824
0.2,4.0,-2.4421615600585938,-3.2515361309051514,-4.058173656463623,0.6234418153762817,0.8277982473373413,1.0195144414901733,0.003638335270807147,0.018893515691161156,0.03713418170809746,0.1494947373867035,0.2226092517375946,0.2959344685077667
0.25,3.0,-2.028984308242798,-2.7180542945861816,-3.3840067386627197,0.6508931517601013,0.8508838415145874,1.057679533958435,0.017864760011434555,0.020474081858992577,0.04414438456296921,0.16178172826766968,0.248051717877388,0.31388190388679504
0.3,2.3333333333333335,-1.639181137084961,-2.1925323009490967,-2.7377407550811768,0.5923207998275757,0.7733147740364075,0.9646994471549988,0.02577456645667553,0.03999026492238045,0.0567777045071125,0.17751860618591309,0.2539299428462982,0.317970871925354
0.35,1.8571428571428572,-1.4539848566055298,-1.9464607238769531,-2.438258647918701,0.5489290952682495,0.7261705994606018,0.908829391002655,0.015963243320584297,0.014405922032892704,0.01049058884382248,0.16913199424743652,0.25670817494392395,0.3322513997554779
0.4,1.5,-1.2582536935806274,-1.6779340505599976,-2.1060373783111572,0.5311585068702698,0.6938467025756836,0.8504172563552856,0.00612872326746583,0.009685163386166096,0.014048434793949127,0.16404259204864502,0.23959137499332428,0.31327882409095764
0.45,1.2222222222222223,-1.152719259262085,-1.5449333190917969,-1.9236165285110474,0.5277904272079468,0.6934203505516052,0.8502697348594666,-0.004723896272480488,-0.013771401718258858,-0.005690497346222401,0.15754641592502594,0.2214900702238083,0.29662612080574036
0.5,1.0,-0.9184178709983826,-1.2282954454421997,-1.5381356477737427,0.49601417779922485,0.6412730813026428,0.803297758102417,0.0067097702994942665,0.011266491375863552,0.019694246351718903,0.15738077461719513,0.21931201219558716,0.2771856188774109
0.55,0.8181818181818181,-0.7757672071456909,-1.0382890701293945,-1.2831542491912842,0.436570405960083,0.5772168040275574,0.722932755947113,0.0027714993339031935,0.005834592040628195,0.0292376559227705,0.15398600697517395,0.24201081693172455,0.2963672876358032
0.6,0.6666666666666667,-0.6098756194114685,-0.8177515864372253,-1.0227928161621094,0.3951783776283264,0.5142329335212708,0.640596330165863,0.01922079175710678,0.023630687966942787,0.0287603959441185,0.1583312600851059,0.22059686481952667,0.27663758397102356
0.65,0.5384615384615383,-0.5556554198265076,-0.7527333498001099,-0.9435304403305054,0.36315348744392395,0.4788578450679779,0.5997503995895386,0.02549559995532036,0.02604314684867859,0.03414558246731758,0.16234366595745087,0.22199293971061707,0.29699254035949707
0.7,0.4285714285714286,-0.41862621903419495,-0.5671993494033813,-0.72318434715271,0.31959640979766846,0.41979846358299255,0.5280107855796814,0.006933444645255804,0.007003067992627621,0.0045684268698096275,0.149839848279953,0.22814780473709106,0.2865002453327179
0.75,0.33333333333333326,-0.33601874113082886,-0.44844886660575867,-0.56839919090271,0.3267151713371277,0.43164169788360596,0.5218524932861328,0.013742518611252308,0.023974211886525154,0.021357223391532898,0.15010832250118256,0.22213855385780334,0.27401748299598694
0.8,0.25,-0.2642800211906433,-0.3655617833137512,-0.45983749628067017,0.2995608448982239,0.37182238698005676,0.4644588530063629,0.0007892522844485939,-0.010801735334098339,-0.015127577818930149,0.15499018132686615,0.22747695446014404,0.2966284155845642
0.85,0.17647058823529416,-0.20324762165546417,-0.2646287977695465,-0.32447710633277893,0.24245519936084747,0.2961064279079437,0.3552417755126953,0.006400221027433872,0.02085457183420658,0.0382423996925354,0.15097226202487946,0.21359029412269592,0.26950258016586304
0.9,0.11111111111111116,-0.13871969282627106,-0.17610330879688263,-0.23034149408340454,0.20730966329574585,0.26203569769859314,0.3261304795742035,-0.0017636129632592201,0.00914151780307293,0.006626754533499479,0.14453764259815216,0.21913790702819824,0.28191128373146057
0.95,0.05263157894736836,-0.0794675350189209,-0.09227966517210007,-0.10022848099470139,0.1884138137102127,0.23580852150917053,0.2595610022544861,0.005710246041417122,0.027078760787844658,0.056730180978775024,0.1511606127023697,0.2225988358259201,0.2841348648071289
1.0,0.0,-0.00951236579567194,0.002487912541255355,0.002309279516339302,0.14999307692050934,0.1750432848930359,0.1785539835691452,0.008568240329623222,0.030363086611032486,0.037075091153383255,0.16090689599514008,0.24220989644527435,0.2823832631111145
