fips,year,y,y0hat,tau_hat
1003,1977,7.78107230707285,7.78150051400996,-0.000428206937109543
1003,1978,7.90824137252948,7.91713728211028,-0.00889590958080078
1003,1979,7.98782441355202,7.96923285267238,0.0185915608796439
1003,1980,7.96929635591963,7.96621220359238,0.00308415232725245
1003,1981,7.96503302604327,7.98410821069117,-0.0190751846478987
1003,1982,8.05939388108898,8.06557589085902,-0.00618200977003802
1003,1983,8.09736719340929,8.07659045010818,0.0207767433011092
1003,1984,8.15230875181896,8.16680110339588,-0.0144923515769211
1003,1985,8.1981816530181,8.19160929011169,0.00657236290641095
1003,1986,8.2691361801938,8.18815332093591,0.0809828592578956
1003,1987,8.32443488124137,8.23104490092222,0.0933899803191522
1003,1988,8.35264441547792,8.31830081182761,0.03434360365031
1003,1989,8.40670094158222,8.36165780534406,0.0450431362381636
1003,1990,8.47721546976069,8.39600729164322,0.0812081781174658
1003,1991,8.52083668606379,8.55103162662969,-0.030194940565897
1003,1992,8.55898110353664,8.70535021251568,-0.146369108979039
1003,1993,8.65000311718035,8.93327955484608,-0.283276437665728
1003,1994,8.74294021367134,8.93375762898148,-0.190817415310145
1003,1995,8.86003135173486,8.97713334920142,-0.117101997466564
1003,1996,8.90664158727622,8.98088620901823,-0.0742446217420127
1003,1997,8.94398717528941,9.00579488763764,-0.0618077123482301
1003,1998,8.98919482370387,8.91284895959003,0.0763458641138435
1003,1999,9.02581639203921,8.77085929823345,0.254957093805759
1005,1977,6.63090667468233,6.61926969136062,0.0116369833217078
1005,1978,6.75660242278279,6.76489381385492,-0.00829139107212651
1005,1979,6.75047931297553,6.76329828595096,-0.0128189729754338
1005,1980,6.69189353759872,6.68600949732804,0.00588404027067835
1005,1981,6.69617101699771,6.68769981940052,0.00847119759718851
1005,1982,6.64321022325694,6.6470989634894,-0.00388874023246455
1005,1983,6.64501083607643,6.66087067574307,-0.0158598396666347
1005,1984,6.71711338050442,6.70998757625953,0.00712580424489495
1005,1985,6.79181746474115,6.78399163088236,0.00782583385878599
1005,1986,6.77763493736488,6.79583888177509,-0.0182039444102085
