rel_year,estimate,std_error,lower,upper
-22,-0.054129090440001894,0.03869113934799599,-0.12996372356207403,0.02170554268207025
-21,-0.05676754243329234,0.036467411451935175,-0.12824366887908528,0.014708584012500608
-20,-0.006324613444382647,0.026604424798004383,-0.058469286048471236,0.04582005915970594
-19,-0.017191399184468343,0.022377187675595624,-0.06105068702863577,0.026667888659699077
-18,-0.00976465459126671,0.017453861766581535,-0.04397422365376652,0.024444914471233096
-17,-0.0195486556112482,0.014922472912795354,-0.04879670252032709,0.009699391297830692
-16,-0.022120188762385785,0.010265307743662964,-0.0422401919399652,-0.002000185584806375
-15,-0.025672499141857655,0.008872850699505039,-0.04306328651288753,-0.00828171177082778
-14,-0.02703752177182482,0.007168298813152136,-0.04108738744560301,-0.012987656098046635
-13,-0.019522383134155993,0.0067834524878849405,-0.03281795001041048,-0.006226816257901509
-12,-0.005510090117593199,0.00611494164377439,-0.017495375739391004,0.006475195504204606
-11,-0.003535522016717171,0.0053348921018342614,-0.013991910536312324,0.006920866502877981
-10,-0.008357895094054773,0.005524662704279947,-0.01918623399444347,0.0024704438063339242
-9,-0.010249966007302653,0.005017359904163258,-0.02008399141946264,-4.159405951426661e-4
-8,-0.01031654738927084,0.004638454357994692,-0.019407917930940436,-0.001225176847601244
-7,-0.0017629997896442093,0.004518652176326759,-0.010619558055244657,0.0070935584759562395
-6,0.005876770430579105,0.004443953767453333,-0.002833378953629428,0.014586919814787639
-5,0.003926007211195649,0.004516489980038386,-0.004926313149679587,0.012778327572070886
-4,0.01328771408459181,0.004724352159201699,0.004027983852556481,0.02254744431662714
-3,0.019705404839384853,0.005335234950289753,0.009248344336816938,0.030162465341952768
-2,0.02261118024339605,0.006443420139869217,0.009982076769252387,0.03524028371753972
-1,0.030257531303212386,0.00805667741832719,0.014466443563291093,0.046048619043133676
0,0.04031430309889694,0.010323581048927295,0.020080084242999445,0.06054852195479444
1,0.03294690596053911,0.01207522067275514,0.00927947344193904,0.05661433847913919
2,0.03032476252486166,0.014155727225002466,0.002579537163856827,0.058069987885866495
3,0.02832515402760996,0.01687218389464011,-0.004744326405884652,0.061394634461104575
4,0.030907302030190483,0.01907222572265726,-0.006474260386217744,0.06828886444659871
5,0.03963593760005712,0.021474065059531044,-0.0024532299166237295,0.08172510511673797
6,0.045533043272950005,0.02406846192855819,-0.0016411421070240476,0.09270722865292405
7,0.044391192427322264,0.026102738803624632,-0.006770175627782017,0.09555256048242655
8,0.041947955143133896,0.02873369522217501,-0.014370087492329126,0.09826599777859692
9,0.04472778905247028,0.03134916000658557,-0.016716564560437443,0.106172142665378
10,0.08344573908849799,0.03538950589399673,0.014082307536264396,0.15280917064073157
11,0.08392578070016342,0.04065042404193437,0.004250949577972049,0.1636006118223548
12,0.06335818355500299,0.04867524232082842,-0.032045291393820716,0.15876165850382667
13,0.11547582259304645,0.060396823579627355,-0.0029019516230231607,0.23385359680911605
