fips,year,g,ytilde0_hat,ytilde
01003,1977,1986,-0.030837690665425712,0.025082100789680872
01003,1978,1986,-0.015847122615865284,-0.07107102949658817
01003,1979,1986,-0.027514583097510252,-0.004602755567836958
01003,1980,1986,-0.015569226307300576,-0.043485527729288265
01003,1981,1986,0.0015731260550475492,0.022384561307156936
01003,1982,1986,0.0020229331594840355,0.03801886338071281
01003,1983,1986,0.017442218354674313,-0.11155528907349055
01003,1984,1986,0.025748677349726377,0.03146594322469465
01003,1985,1986,0.04298167607746403,0.11376313316495867
01003,1986,1986,0.05755172607928691,0.17412862918145944
01003,1987,1986,0.05719112941301538,0.20730475573183416
01003,1988,1986,0.07260731904397351,4.1255898639569297e-5
01003,1989,1986,0.06616039075232517,0.08139341087441831
01003,1990,1986,0.05768923570813317,0.03417081044797232
01003,1991,1986,0.05924144459214647,0.2123151313588103
01003,1992,1986,0.08935571881837712,0.3589817715354453
01003,1993,1986,0.10070281234521555,0.3730072637852615
01003,1994,1986,0.09725152690005527,0.3586888979518106
01003,1995,1986,0.10801473340573614,0.47892348426870957
01003,1996,1986,0.146146381634452,0.7143096419774624
01003,1997,1986,0.14786408437503218,0.6420569151858135
01003,1998,1986,0.18054261369672928,0.6086849422210996
01003,1999,1986,0.18347539870503932,0.5568550310208442
01101,1977,1986,-0.004584959403367506,0.037670329015969894
01101,1978,1986,-0.0023561561286232053,0.07650252925901979
01101,1979,1986,-0.0040908785249637895,-0.02162459097200875
01101,1980,1986,-0.00231483840133491,-0.05358058603835003
01101,1981,1986,2.338929713326223e-4,0.004362585985046241
01101,1982,1986,3.007704601680564e-4,-0.06486704316958791
01101,1983,1986,0.0025933155607697753,-0.03708304086012193
01101,1984,1986,0.0038283229966783947,0.0032966494299038196
01101,1985,1986,0.006390531704918265,0.055323167350127544
01101,1986,1986,0.008556812198752069,0.08483548026767851
01101,1987,1986,0.008503198551291159,0.08818742975635319
01101,1988,1986,0.010795283402242901,0.030607113765738436
01101,1989,1986,0.009836751688103567,0.07795604935378675
01101,1990,1986,0.008577257181895344,0.05228839269496044
01101,1991,1986,0.008808040180400694,0.0034484349004588744
01101,1992,1986,0.013285441756516343,-0.07698607387238576
01101,1993,1986,0.01497253187397116,-0.08341932297661936
01101,1994,1986,0.014459393460748973,-0.07399760528141064
01101,1995,1986,0.016059671037109015,-0.13667574644030234
01101,1996,1986,0.021729098784115015,-0.0643170874073502
01101,1997,1986,0.021984487471227148,-0.10516116642436879
01101,1998,1986,0.026843143455792185,-0.0692297807510811
01101,1999,1986,0.027279191029775482,-0.010896102222228254
08003,1977,1986,-0.08857979774911738,-0.15354020420823192
08003,1978,1986,-0.045520104973120964,-0.027636587982891727
08003,1979,1986,-0.07903432952783644,-0.0400767233480204
08003,1980,1986,-0.04472186106196172,-0.08409921470414153
08003,1981,1986,0.0045187296708378575,0.06585155123066341
08003,1982,1986,0.005810779155651316,-0.0295400411897109
08003,1983,1986,0.050101941514227345,0.13265418137541582
08003,1984,1986,0.07396184937101079,0.07990195434335165
08003,1985,1986,0.1234628174712343,0.05648508448356557
08003,1986,1986,0.16531459218285346,0.32014906263887544
08003,1987,1986,0.16427879543289936,0.2707855613259904
08003,1988,1986,0.20856106593064902,0.020059677933486262
08003,1989,1986,0.19004257145669232,0.2499332792094446
08003,1990,1986,0.16570958204262964,0.25279774162290836
08003,1991,1986,0.17016822813588056,0.06827503584904734
08003,1992,1986,0.25667004661711035,0.06770494502662247
08003,1993,1986,0.2892640323520598,-0.23912774134442197
08003,1994,1986,0.27935037928304035,-0.13747459838410306
08003,1995,1986,0.3102671773581348,-0.139657649220174
08003,1996,1986,0.4197985208230691,0.006700484885718814
08003,1997,1986,0.4247325401374365,0.0065610435365901255
08003,1998,1986,0.5186000592542274,-0.05398248992408375
08003,1999,1986,0.527024344512689,-0.017580688955069392
08069,1977,1986,-0.234041359787691,-0.20839105671999647
08069,1978,1986,-0.12027107236981492,-0.09985986022054583
08069,1979,1986,-0.20882077429204346,-0.17050698845714507
08069,1980,1986,-0.11816198999259969,-0.13952743238670617
08069,1981,1986,0.011939174208448849,-0.1858664050152914
08069,1982,1986,0.015352966359963898,0.09060490372283514
08069,1983,1986,0.13237698457163133,0.13126377829521108
08069,1984,1986,0.19541850669190794,0.22981626790498666
08069,1985,1986,0.3262076276808285,0.35246679287665117
08069,1986,1986,0.43678641101444754,0.3097898032089814
08069,1987,1986,0.434049677741365,0.21838602003469632
08069,1988,1986,0.5510502022981391,0.18488433637439172
08069,1989,1986,0.5021215104514831,0.14094498179394055
08069,1990,1986,0.4378300345745983,0.2163441695185444
08069,1991,1986,0.4496104587908742,0.24672250069573298
08069,1992,1986,0.6781614798577151,0.27751959707458784
08069,1993,1986,0.7642797702145495,0.42188249376924425
08069,1994,1986,0.7380863840961008,0.46720200616114305
08069,1995,1986,0.8197732883975808,0.5044917603361716
08069,1996,1986,1.1091718331595692,0.5482816814912939
08069,1997,1986,1.1222082660584554,0.5880142828731856
08069,1998,1986,1.3702205936121126,0.5640989037153918
08069,1999,1986,1.3924788424141021,0.6252292852825558
08071,1977,1986,-0.1810434495839664,-0.21820992673865103
08071,1978,1986,-0.09303607638729564,-0.22718521276560022
08071,1979,1986,-0.16153398423646795,-0.12344509148905924
08071,1980,1986,-0.09140458890416797,-0.10357544491126003
08071,1981,1986,0.009235586760572144,0.0030050634438643087
08071,1982,1986,0.011876336702520909,0.09547643454990062
08071,1983,1986,0.10240064386103469,0.2466206986863666
08071,1984,1986,0.15116661685842392,0.25639882009443227
