rel_year,estimate,std_error
-22.0,-0.009747744008876692,0.05612648553808203
-21.0,-0.018170464348216137,0.038774942106511834
-20.0,0.031207345947498046,0.030963707122733584
-19.0,0.013140091674827882,0.026962291526342993
-18.0,0.026575038505926754,0.021433655705842096
-17.0,0.016410918151977018,0.018659529801148052
-16.0,0.018593368332598496,0.015182264313086802
-15.0,-0.00012258100526736402,0.013281950655531201
-14.0,0.001677441600494815,0.011643072058481389
-13.0,-0.0029143895267023973,0.010448192949068699
-12.0,0.005262320159989367,0.009841632513757682
-11.0,0.008218119110498634,0.009435894780260905
-10.0,0.00011784869612186565,0.008998424311678547
-9.0,-0.003778727832931287,0.00864093295298337
-8.0,-0.007308850943669706,0.00864093295298337
-7.0,-0.002960895825344992,0.00864093295298337
-6.0,0.002624363621396699,0.00864093295298337
-5.0,-0.0028703892559640907,0.00864093295298337
-4.0,0.007480194145151444,0.00864093295298337
-3.0,0.008357450569128086,0.00864093295298337
-2.0,0.006391416330102912,0.00864093295298337
-1.0,0.00443397003562348,0.00864093295298337
0.0,0.004514922401478066,0.00864093295298337
1.0,-0.014312765069216676,0.008745193887735663
2.0,-0.02659185377404872,0.008863830662274969
3.0,-0.03839767013662093,0.008998424311678547
4.0,-0.04590672373266013,0.009122081161912128
5.0,-0.05389560907353404,0.009442251059041867
6.0,-0.053019640993763634,0.009749287474405616
7.0,-0.043174632840371235,0.010509065166691797
8.0,-0.05876108612271587,0.011378029258884065
9.0,-0.06068776789381917,0.012892464975936394
10.0,-0.06723058857507433,0.015370871101347503
11.0,-0.12828014226008078,0.01805217260453099
12.0,-0.17295651771740522,0.021508467995104013
13.0,-0.13422764133379245,0.030963707122733584
