fips,year,g,rel_year,ytilde,y0hat,tau_hat
1003,1977,1986.0,-9.0,0.038776997133517455,0.0,0.038776997133517455
1003,1978,1986.0,-8.0,-0.06168476885381047,0.0,-0.06168476885381047
1003,1979,1986.0,-7.0,0.003057825736770603,0.0,0.003057825736770603
1003,1980,1986.0,-6.0,-0.034271290136497434,0.0,-0.034271290136497434
1003,1981,1986.0,-5.0,0.02372533559105694,0.0,0.02372533559105694
1003,1982,1986.0,-4.0,0.04174015994837621,0.0,0.04174015994837621
1003,1983,1986.0,-3.0,-0.11424416632170953,0.0,-0.11424416632170953
1003,1984,1986.0,-2.0,0.015109813363876512,0.0,0.015109813363876512
1003,1985,1986.0,-1.0,0.08779009353841616,0.0,0.08779009353841616
1003,1986,1986.0,0.0,0.1337054895384222,0.0,0.1337054895384222
1003,1987,1986.0,1.0,0.15652337253223525,0.0,0.15652337253223525
1003,1988,1986.0,2.0,-0.05952770269077501,0.0,-0.05952770269077501
1003,1989,1986.0,3.0,0.01710248980353235,0.0,0.01710248980353235
1003,1990,1986.0,4.0,-0.02583797818485678,0.0,-0.02583797818485678
1003,1991,1986.0,5.0,0.1517391423120804,0.0,0.1517391423120804
1003,1992,1986.0,6.0,0.29783759796992193,0.0,0.29783759796992193
1005,1977,1990.0,-13.0,-0.2221623945553448,0.0,-0.2221623945553448
1005,1978,1990.0,-12.0,-0.06778480909715245,0.0,-0.06778480909715245
1005,1979,1990.0,-11.0,0.005746547989387452,0.0,0.005746547989387452
1005,1980,1990.0,-10.0,0.04169573370348001,0.0,0.04169573370348001
1005,1981,1990.0,-9.0,0.04555221963103406,0.0,0.04555221963103406
1005,1982,1990.0,-8.0,-0.11264547519467616,0.0,-0.11264547519467616
1005,1983,1990.0,-7.0,-0.10482291361724183,0.0,-0.10482291361724183
1005,1984,1990.0,-6.0,0.10399925853044412,0.0,0.10399925853044412
1005,1985,1990.0,-5.0,0.31042183261007406,0.0,0.31042183261007406
1005,1986,1990.0,-4.0,0.1299691044634299,0.0,0.1299691044634299
1005,1987,1990.0,-3.0,0.3251932770760728,0.0,0.3251932770760728
1005,1988,1990.0,-2.0,0.2897689932972529,0.0,0.2897689932972529
1005,1989,1990.0,-1.0,0.23617421899283997,0.0,0.23617421899283997
1005,1990,1990.0,0.0,0.15585936075015105,0.0,0.15585936075015105
1005,1991,1990.0,1.0,-0.059995657906402045,0.0,-0.059995657906402045
1005,1992,1990.0,2.0,-0.31147160534723994,0.0,-0.31147160534723994
1013,1977,1990.0,-13.0,0.05203271853317837,0.0,0.05203271853317837
1013,1978,1990.0,-12.0,0.03230976756616055,0.0,0.03230976756616055
1013,1979,1990.0,-11.0,-0.003180527813379186,0.0,-0.003180527813379186
1013,1980,1990.0,-10.0,-0.054708049514596624,0.0,-0.054708049514596624
1013,1981,1990.0,-9.0,-0.02031667488964306,0.0,-0.02031667488964306
1013,1982,1990.0,-8.0,0.29787994939818674,0.0,0.29787994939818674
1013,1983,1990.0,-7.0,-0.1106034421596096,0.0,-0.1106034421596096
1013,1984,1990.0,-6.0,-0.15587954174456353,0.0,-0.15587954174456353
1013,1985,1990.0,-5.0,-0.03753419937573366,0.0,-0.03753419937573366
1013,1986,1990.0,-4.0,0.017552004967401835,0.0,0.017552004967401835
1013,1987,1990.0,-3.0,0.1144356874161252,0.0,0.1144356874161252
1013,1988,1990.0,-2.0,0.2326706221151955,0.0,0.2326706221151955
1013,1989,1990.0,-1.0,0.24678075014695278,0.0,0.24678075014695278
1013,1990,1990.0,0.0,0.4644183224223335,0.0,0.4644183224223335
1013,1991,1990.0,1.0,0.33783977671992105,0.0,0.33783977671992105
1013,1992,1990.0,2.0,0.25738075040726205,0.0,0.25738075040726205
1023,1977,Inf,-Inf,-0.1374818264420643,0.0,-0.1374818264420643
1023,1978,Inf,-Inf,-0.2930427234313626,0.0,-0.2930427234313626
1023,1979,Inf,-Inf,-0.14082913463952185,0.0,-0.14082913463952185
1023,1980,Inf,-Inf,-0.16312117861753972,0.0,-0.16312117861753972
1023,1981,Inf,-Inf,-0.03574663021118507,0.0,-0.03574663021118507
1023,1982,Inf,-Inf,0.2670243918442443,0.0,0.2670243918442443
1023,1983,Inf,-Inf,0.4726753620770783,0.0,0.4726753620770783
1023,1984,Inf,-Inf,0.048210099272034235,0.0,0.048210099272034235
1023,1985,Inf,-Inf,-0.01768835985167616,0.0,-0.01768835985167616
1023,1986,Inf,-Inf,-0.3086047727850403,0.0,-0.3086047727850403
1023,1987,Inf,-Inf,0.08558981998098325,0.0,0.08558981998098325
1023,1988,Inf,-Inf,0.12944219778122257,0.0,0.12944219778122257
1023,1989,Inf,-Inf,0.32932525709775984,0.0,0.32932525709775984
1023,1990,Inf,-Inf,-0.17316580687915906,0.0,-0.17316580687915906
1023,1991,Inf,-Inf,-0.023979191502681907,0.0,-0.023979191502681907
1023,1992,Inf,-Inf,0.28703922298794016,0.0,0.28703922298794016
1025,1977,1988.0,-11.0,0.2570565428540892,0.0,0.2570565428540892
1025,1978,1988.0,-10.0,0.3433038972375311,0.0,0.3433038972375311
1025,1979,1988.0,-9.0,0.09560716991158191,0.0,0.09560716991158191
1025,1980,1988.0,-8.0,0.1960951272198539,0.0,0.1960951272198539
1025,1981,1988.0,-7.0,-0.06566900617747162,0.0,-0.06566900617747162
1025,1982,1988.0,-6.0,-0.1692999920282725,0.0,-0.1692999920282725
1025,1983,1988.0,-5.0,-0.32659994507760803,0.0,-0.32659994507760803
1025,1984,1988.0,-4.0,-0.22490533384555178,0.0,-0.22490533384555178
