fips,year,g,ytilde0_hat,ytilde
01003,1977,1986,-0.10924552815626805,-0.17598769776849554
01003,1978,1986,-0.0765506294917864,-0.11954091411727674
01003,1979,1986,-0.11408708547733588,-0.07020223072055831
01003,1980,1986,-0.060658910800480706,-0.05709755673030248
01003,1981,1986,-0.017276682934256878,-0.04622229051022764
01003,1982,1986,-0.030762091613014905,0.05008634438031745
01003,1983,1986,0.06920758121132953,0.1155873066118156
01003,1984,1986,0.14785788381413154,0.14073084945897385
01003,1985,1986,0.19151382525398608,0.16264618939575648
01003,1986,1986,0.30502206870137316,0.2217566258291379
01003,1987,1986,0.45088530391939996,0.2364221911598392
01003,1988,1986,0.4253052786975975,0.23651817209430437
01003,1989,1986,0.5163797045622307,0.27137026729490366
01003,1990,1986,0.532455403080059,0.31475415629730463
01003,1991,1986,0.48148594416186263,0.3706110459256946
01003,1992,1986,0.41065052054900897,0.4143834637047199
01003,1993,1986,0.46421158645369204,0.5096679298550981
01003,1994,1986,0.4400539042493415,0.5772499048287107
01003,1995,1986,0.48245028465473405,0.6620446075705164
01003,1996,1986,0.5273552272000637,0.7022063829977911
01003,1997,1986,0.6133402171531706,0.7249369682563191
01003,1998,1986,0.6523038122739717,0.7695438646834072
01003,1999,1986,0.6568911889699409,0.7923178418377148
01101,1977,1986,-0.0055163722387788225,0.0010901790176953729
01101,1978,1986,-0.010662670447286447,0.04157301036087535
01101,1979,1986,0.01004133207209581,-0.002353559080337849
01101,1980,1986,-0.0017026552156098698,-0.011441090055431143
01101,1981,1986,-0.010446879003918566,-0.04462981913519748
01101,1982,1986,-0.015280858580338584,-0.01618500342576112
01101,1983,1986,0.0020932332416559044,-0.022292282750774103
01101,1984,1986,0.02223441344427333,0.03539997011971341
01101,1985,1986,0.009240120300325897,0.018838594949216695
01101,1986,1986,0.024302720188539056,0.07287395972622868
01101,1987,1986,0.042493717874015194,0.08749918278874969
01101,1988,1986,0.04840127364973463,0.10127243371065475
01101,1989,1986,0.0729071358154462,0.1055572255146453
01101,1990,1986,0.08043836591845079,0.1246290647155659
01101,1991,1986,0.09791828217396137,0.11288461703021468
01101,1992,1986,0.10643366376339788,0.1229147459811406
01101,1993,1986,0.08246243359929643,0.146993063697189
01101,1994,1986,0.07878415636698187,0.1884536919512918
01101,1995,1986,0.09922514998034332,0.17311818501912857
01101,1996,1986,0.09724095984423292,0.22065120831590335
01101,1997,1986,0.12196235962748038,0.22795475823521993
01101,1998,1986,0.12161155063291333,0.19360438186182805
01101,1999,1986,0.14658602103730048,0.17507111245145435
08003,1977,1986,-0.015107239483694817,0.11675874085727894
08003,1978,1986,-0.008673760036768894,0.05069593612947759
08003,1979,1986,-0.02022223671561443,-0.05219062895167387
08003,1980,1986,-0.008771028084614836,-0.04991079189445774
08003,1981,1986,3.043564503897161e-4,-0.06398185326016353
08003,1982,1986,-3.9216891199201785e-4,-0.06212776531769798
08003,1983,1986,0.009964757367722454,-0.04491088587566111
08003,1984,1986,0.016292205018775343,-0.01977586178273288
08003,1985,1986,0.026604959227684195,0.12544311009563053
08003,1986,1986,0.039676683282580026,0.26672316818732117
08003,1987,1986,0.05680221427794024,0.05389615011003318
08003,1988,1986,0.05123954140481142,0.02454740963504815
08003,1989,1986,0.05823369942675756,-0.06928031938645113
08003,1990,1986,0.05856643304165718,-0.17394348636012108
08003,1991,1986,0.045876526933197014,0.006886122381719099
08003,1992,1986,0.03267911819654158,-0.004637201676426058
08003,1993,1986,0.047590362388658325,0.28772315018478206
08003,1994,1986,0.044941274593570925,0.15709363490722555
08003,1995,1986,0.04565593313439162,0.17860920220026116
08003,1996,1986,0.05306178583836271,0.2191331219288561
08003,1997,1986,0.05921920876393783,0.15514687845213387
08003,1998,1986,0.06525954833566253,0.1835941510598204
08003,1999,1986,0.058933264625912744,0.16881675971881854
08069,1977,1986,-0.06584010319854905,-0.13531963829773197
08069,1978,1986,-0.043148650978035635,-0.07389113399959335
08069,1979,1986,-0.07570191899875443,-0.0554438156441357
08069,1980,1986,-0.03715568157487842,0.002411476487339751
08069,1981,1986,-0.006205022449647226,0.02606196486481505
08069,1982,1986,-0.012507455070645,0.005488289259351301
08069,1983,1986,0.04232585034865444,0.060884481794727385
08069,1984,1986,0.08262140813408302,0.08175562986155605
08069,1985,1986,0.11561069796666686,0.08805274567366972
08069,1986,1986,0.17991956895192726,0.1538369321404991
08069,1987,1986,0.26307136935136477,0.11043822453813235
08069,1988,1986,0.24449126396354687,0.07501962588676658
08069,1989,1986,0.29063231206798656,0.11553336739298814
08069,1990,1986,0.2973680916451683,0.16761965952572666
08069,1991,1986,0.2578377070107775,0.2534979993721569
08069,1992,1986,0.20983295571394373,0.29546085921062293
08069,1993,1986,0.2538352144034211,0.3473785565604004
08069,1994,1986,0.24035616173256064,0.3576529812599345
08069,1995,1986,0.2578660204070804,0.4043354172246705
08069,1996,1986,0.2867976349080114,0.4534962792087649
08069,1997,1986,0.3296637390955697,0.45272904766728317
08069,1998,1986,0.3541650377219879,0.5013330170532884
08069,1999,1986,0.34605708867510765,0.5549175159469062
08071,1977,1986,0.09613869650948859,0.03562673151392426
08071,1978,1986,0.07413597567943685,0.1332730197466634
08071,1979,1986,0.08466149685213616,0.06860451838604176
08071,1980,1986,0.052026510220687675,0.08282324200072777
08071,1981,1986,0.024739432183291953,0.04963209271422242
08071,1982,1986,0.040743051112565334,0.028981736902127245
08071,1983,1986,-0.05950862469746363,-0.09985091299954574
08071,1984,1986,-0.14482671671633612,-0.10271043221484666
