tau-15.0,tau-14.0,tau-13.0,tau-12.0,tau-11.0,tau-10.0,tau-9.0,tau-8.0,tau-7.0,tau-6.0,tau-5.0,tau-4.0,tau-3.0,tau-2.0,tau-1.0,tau0.0,tau1.0,tau2.0,tau3.0,tau4.0,tau5.0,tau6.0
0.0029799023887299016,-0.011657701703682941,-0.0028910047920754646,0.001787301063636563,0.005536436216234776,0.002957318902608259,-0.004449401517524155,-0.0009608010740962909,0.002539260704391126,0.0021341370959469235,-0.0035848291923417856,0.0021816744229451682,0.002607342445315807,-0.0015786945509342189,-0.0019301791855341399,-0.004546855918724117,-0.02030958845915752,-0.03433453886200838,-0.01731074572337729,-0.030536510611432283,-0.04160345701097719,-0.10952159158790267
-0.005584393815877707,-0.009800112339858717,-0.014961094170156999,0.0006275236670831313,0.01081720607644934,0.017389611491580838,0.00334965914835445,-0.00487332557127379,-0.0043852118856329515,-0.0029306866064177524,0.005426487807802009,0.006379724092625035,-0.008041550577933784,-0.0057958266533780405,0.004386524178083626,-0.00026425101714715654,-0.016533885099747597,-0.012798043380568142,-0.024666681258144304,-0.016188749984864016,-0.028692025241298047,-0.021527199861852617
-0.02260904818727342,-0.0033614638864636038,0.002295412050172077,0.011655318689120802,0.002287640180313277,0.008044619951820167,-0.008798891219904419,-0.008439329467068254,-0.005347786505276885,-0.0036174017540710757,0.0022478414548752594,0.00804080769149604,0.008325637949401263,-0.004171072249828309,-0.0028336916752288253,0.017867219518803438,-0.007636627265022694,-0.004791111254238631,-0.020018394303728777,-0.038995333609710386,-0.051463231579455766,-0.13521448717987572
-0.0008020382059946113,-0.01584559672867176,0.0002753894514619895,0.008192132222280019,-0.00012142218175285253,9.609092237322973e-5,-0.003475073574469144,-0.004665481791348024,0.0009175381423548995,0.0048768347726848805,0.0023111098721350287,0.004211160314725742,-0.0022360366431238387,0.0021603913161232693,-0.007401870597825705,-0.0025756560656731904,-0.019501217991066036,-0.01657662904969747,-0.012199879245497995,-0.05542142100301028,-0.055110469987901506,-0.07891913038602197
-0.0090424209708759,-0.0235421073473981,-0.0199620001607807,-0.0045367226699467985,0.004663311180325309,0.009611625420294697,0.003029040256963169,-2.4121188573261676e-5,0.0003136674962628229,0.008208759457314373,0.001451638807854735,0.011915407713968464,-0.002054133090823434,-0.00912855399513795,-0.013244442461251647,-0.004696115854598093,-0.03762309516749062,0.01482027702566983,-0.04065610497094058,-0.07548545943324185,-0.042283913226883504,-0.03461395319719953
-0.016651603375377765,-0.018848068142457344,-0.022619428744947503,-0.0017547516825266616,0.007862689840118528,0.0036573733008346434,-0.002435927169575841,0.008740244698717852,0.007291899886152988,-0.0003548527787444185,-0.004932880195992039,0.009613611311264909,-0.0009474397594626759,-0.010244226957322349,-0.0076074202499320336,0.0024224961584378398,-0.021201696789246376,-0.0296804302206679,-0.05243341856371082,-0.0738261926742398,-0.08470324117678119,-0.17883969967456173
-0.01777106451744457,-0.0007597578545995298,-0.00683087425843035,0.00910914953918341,0.0146621063242341,0.008846716188967178,0.003028908854753804,-0.009622875354389408,-0.005612726263267794,-0.0003243766400540539,0.0009260547742566828,0.0035005799668449203,0.0031729326187896717,-0.0007113813323107957,-0.0028793219154980365,-0.0032557749944225026,-0.039348795265836296,-0.023649632120594923,-0.04610656204194926,-0.06999902294079188,0.030970697567748576,-0.15373695376564847
-0.016374385894873503,-0.019058943778605477,-0.01736974789868235,-0.001312061879415466,-0.0002675380683365861,0.003036745810974138,-0.0036605802132886095,0.006341017584049422,0.003935144010745976,0.005164995157035901,-0.004043760468335608,0.003982663945635381,-0.00627632058372029,-0.0014515774419129432,-0.008044258715234473,-0.02796374075937148,-0.05256568662485044,-0.06287812663165028,-0.04098557825435609,-0.046365605410894205,-0.08906170986720563,-0.2076259320154346
-0.036661119362353,-0.012768239469813149,-0.012856126173748931,0.0016564407312764672,0.009435881099238977,0.006789128135486345,-0.0016879830265107301,0.003500613584029845,-0.001174421207012825,-0.0012374492792593531,0.00016508553892275558,0.0148683803405087,0.004266762330377808,-0.010514901448478085,-0.009741133201293661,0.001187643244616433,-0.02383194941094396,-0.02329698808703022,-0.04368436534057674,-0.0874055659079904,-0.10041060065996461,-0.07877225843285093
0.012407092494172094,-0.015160649727407723,-0.003992935878537943,0.010821423436705084,0.010369308398234137,0.011878714618597545,-0.007310666516534846,-0.0035969617575365817,0.0007070588735925265,-0.003684656039795686,-0.005817847696431551,0.002024314198692273,0.007878241555056197,0.002177978394167507,-0.0025363041399520977,0.020348237737866332,-0.013968717084266282,-0.004997329991348914,-0.04398882434905155,-0.0864557545694598,-0.0778966079785795,-0.14945060858379838
-8.507497532307234e-5,-0.011106901754440698,-0.018467096176288247,-0.003842178876929368,0.0035532415051444804,0.008193249777752832,-0.0008119619855111038,-0.0030287682576673174,0.005290644237949187,0.005394218694430164,-0.0014910594550379308,0.009405819720120766,-0.003565265339552472,-0.003978075415000645,-0.009523072170189089,-0.012091506107273267,-0.048036600423066955,-0.04340621674196845,-0.04983802554383088,-0.09043540926949056,-0.14512733776935832,-0.2178571658616939
