estimate,std_error,upper,lower
-0.0907650399814175,0.0590221323518118,0.020789096766694,-0.207386563444518
-0.0692649108423713,0.0436918625908071,0.013931847872433,-0.154525523317583
-0.0423959440062706,0.0317995226972859,0.0211430705735953,-0.103442337802847
-0.0571339269418144,0.0261691441058928,-0.00469247368655379,-0.104729305310542
-0.0430223359052388,0.0189030139487565,-0.00682456914259276,-0.0795460526686528
-0.041824796505465,0.0160670713258774,-0.0101351755157896,-0.0730514285112917
-0.0464103980320852,0.011097193725448,-0.0255170382468609,-0.0688968687731871
-0.0429088822165721,0.00944583195908899,-0.0252972733907228,-0.0620169730953207
-0.0379470875238167,0.00767018419444928,-0.0237114912071522,-0.0532592488265258
-0.0263002508413488,0.00705968383187021,-0.0122173623584226,-0.0402057342495814
-0.0106380079508037,0.00665481977632673,0.00298905997028545,-0.0230681772962686
-0.00476843512566275,0.00570789275260942,0.00625761895033902,-0.0155917543171828
-0.00667134975084763,0.00586805717693732,0.00481378018482039,-0.0178254928942858
-0.00797629494582112,0.00523968406517922,0.00389091930140302,-0.0179736105735221
-0.00664883092247417,0.00491825826045175,0.00296673522330851,-0.0163862617389097
0.00241981248964372,0.00448732893422006,0.0109646093677327,-0.00632613949717615
0.010701507405126,0.00462132797397464,0.0199372570703418,0.00187262087005413
0.00963071972177054,0.00465371065550242,0.0187890112404519,0.000537265882419873
0.0198581639925902,0.00486781971997252,0.0296978725483504,0.0105107369314014
0.0256188916857135,0.00588003406045469,0.036778949104293,0.0138473155948984
0.0295199737024484,0.00700788785075614,0.0430869918223253,0.0168040662791833
0.0392384118864953,0.00874949673331357,0.0555944333556485,0.0222589621490994
0.0495244677468909,0.0105827701986402,0.0694065825023045,0.0301588581247439
0.04265415924513,0.0120195322465218,0.0667592462039496,0.0198290573621273
0.0433951218375809,0.013742976188056,0.0704247151735772,0.0171562153769402
0.0429109694777835,0.0159532982698444,0.0725690039834427,0.0121846092864596
0.0483925671363966,0.017910967063855,0.0835734269236656,0.0148361129849937
0.0579181514620412,0.019694382542336,0.0956916525208575,0.0208448554849059
0.0710324474490478,0.0216186300026027,0.112573686092501,0.0297080280175341
0.0672076071920846,0.0240183144339316,0.11292701673716,0.0212171168091324
0.0652815644560335,0.0268671730242257,0.115389820303879,0.0116437057726746
0.0597257485740341,0.0293142448733741,0.113955562198173,-3.63607437330001e-05
0.0892035010983688,0.0327703250666787,0.154339990961504,0.0252779805854071
0.0800929541363479,0.0372506181581782,0.149068239860413,0.00705597924902427
0.0561462614179197,0.0456723043375741,0.143933392854245,-0.0324949046223863
0.0791546156012965,0.0574405050231558,0.185947051126973,-0.0344652734853755
