fips,year,y,y0hat,tau_hat
1003,1977,6.49981334690538,6.43890786145315,0.0609054854522348
1003,1978,6.44484411268304,6.50335412425029,-0.0585100115672521
1003,1979,6.5826441053218,6.61033744714591,-0.0276933418241043
1003,1980,6.53995011951253,6.5548390429743,-0.0148889234617693
1003,1981,6.58744309139799,6.53189547019353,0.055547621204461
1003,1982,6.59567416815794,6.59357178640986,0.00210238174808453
1003,1983,6.4026255919689,6.51091452549183,-0.108288933522928
1003,1984,6.55971351964834,6.53620897486627,0.0235045447820736
1003,1985,6.66258961308634,6.59526843605624,0.0673211770300979
1003,1986,6.70551248317226,6.48041567392972,0.225096809242545
1003,1987,6.75542486680658,6.33251788523268,0.422906981573901
1003,1988,6.55615219156366,6.87106918883394,-0.314916997270282
1003,1989,6.65182267513688,6.70018690661163,-0.0483642314747463
1003,1990,6.63956116324551,6.81332445616903,-0.173763292923515
1003,1991,6.80503017580479,6.78403669365946,0.0209934821453324
1003,1992,6.93835419835159,6.68313057368282,0.255223624668774
1003,1993,6.97984474280562,6.88852439157301,0.0913203512326124
1003,1994,6.98305478773967,6.87325309868917,0.109801689050498
1003,1995,7.1537136828736,6.98643172605367,0.167281956819932
1003,1996,7.36109609160382,6.72173310683142,0.639362984772405
1003,1997,7.28236321822785,6.61458730898404,0.667775909243808
1003,1998,7.21964206921309,6.53117071173909,0.688471357474004
1003,1999,7.18311173097988,6.3719884048463,0.811123326133579
1005,1977,5.17551434318158,5.09392323311634,0.0815911100652391
1005,1978,5.37538446040476,5.46096023117853,-0.0855757707737732
1005,1979,5.52197321553948,5.55151658472989,-0.0295433691904075
1005,1980,5.55255753131757,5.52456975603693,0.0279877752806383
1005,1981,5.54591036340303,5.53520363412799,0.010706729275042
1005,1982,5.37792892097995,5.39271423455349,-0.0147853135735376
1005,1983,5.34868723263843,5.44962426262825,-0.100937029989824
1005,1984,5.58524335277997,5.57964801370013,0.00559533907983667
1005,1985,5.82186174012306,5.71690121037388,0.104960529749183
1005,1986,5.63841648606233,5.83055813473589,-0.192141648673563
1005,1987,5.86073515931548,5.98613302695338,-0.125397867637904
1005,1988,5.84208927551675,6.19068979773079,-0.348600522214044
1005,1989,5.80753479229125,6.37112339083555,-0.563588598544302
1005,1990,5.75789889014558,6.56505858057898,-0.807159690433401
1005,1991,5.52993576355137,6.55264421950949,-1.02270845595812
1005,1992,5.26568538299949,6.61819484243597,-1.35250945943648
1005,1993,5.25522842878304,6.8332869707514,-1.57805854196836
1005,1994,5.394149053416,6.87392418873861,-1.47977513532261
1005,1995,5.56074652580701,6.90040454864793,-1.33965802284092
1005,1996,5.23344859706114,7.00356043877983,-1.77011184171869
1005,1997,5.4594929581838,7.15732416553683,-1.69783120735303
1005,1998,5.17048402467114,7.39679870817443,-2.22631468350329
1005,1999,5.06890423183512,7.52854948321549,-2.45964525138037
1013,1977,4.86585805852318,4.88739626517436,-0.0215382066511793
1013,1978,4.89162763932115,4.81331827329839,0.0783093660227614
1013,1979,4.92919474198979,5.03512056220854,-0.105925820218751
1013,1980,4.87230235035257,4.85451125038614,0.0177910999664279
1013,1981,4.89619007113543,4.85711763056909,0.0390724405663381
1013,1982,5.20460294782589,5.12385600540397,0.0807469424219223
1013,1983,4.75905530634914,4.84934221303978,-0.090286906690638
1013,1984,4.74151315475804,4.74022270851297,0.00129044624507202
1013,1985,4.89005431039033,4.88951367223777,0.000540638152560113
1013,1986,4.94214798881938,4.48468588500789,0.457462103811489
1013,1987,5.06612617190861,3.77906982454274,1.28705634736587
1013,1988,5.20113950658777,5.68702309009376,-0.485883583505991
1013,1989,5.23428992569844,4.90714110448611,0.327148821212327
1013,1990,5.48260645407084,5.18339899074375,0.299207463327088
1013,1991,5.34391980043077,4.8726782567489,0.471241543681867
1013,1992,5.25068634100707,4.29573620814301,0.954950132864056
1013,1993,4.88925113785744,4.7229721225518,0.166279015305645
1013,1994,4.93956811464233,4.58104296940398,0.358525145238353
1013,1995,5.0352960751843,4.83261863673344,0.20267743845086
1013,1996,4.86417535514482,3.78567835485702,1.0784970002878
1013,1997,5.12001387149588,3.30533352163717,1.81468034985871
1013,1998,4.94164244794128,3.08981069581832,1.85183175212296
1013,1999,4.9344739584305,2.58186486428609,2.35260909414442
1023,1977,4.20801927159947,,
1023,1978,4.09795090637516,,
1023,1979,4.32322189321518,,
1023,1980,4.29556497930116,,
1023,1981,4.41243587386542,,
1023,1982,4.70542314832348,,
1023,1983,4.87400986863736,,
1023,1984,4.47727855382617,,
1023,1985,4.44157590796592,,
1023,1986,4.14766696911847,,
1023,1987,4.568956062525,,
1023,1988,4.62958684030533,,
1023,1989,4.84851019070078,,
1023,1990,4.37669808282088,,
1023,1991,4.5137765902597,,
1023,1992,4.81202057163928,,
1023,1993,4.96583220875616,,
1023,1994,4.92358195176862,,
1023,1995,5.09380192982706,,
1023,1996,5.13143952388316,,
1023,1997,5.22645299025734,,
1023,1998,5.11799383704382,,
1023,1999,5.036952628152,,
1025,1977,5.01149322475729,4.99629674681004,0.0151964779472529
1025,1978,5.14323311090572,5.10390382246623,0.0393292884394949
1025,1979,4.96859378162795,5.09702423073219,-0.12843044910424
1025,1980,5.06371686900022,4.96081614002771,0.102900728972508
1025,1981,4.7914490817608,4.83071319004404,-0.0392641082832403
1025,1982,4.67803434831263,4.61547792419977,0.0625564241128647
1025,1983,4.48367014534434,4.57720881110669,-0.0935386657623507
1025,1984,4.61309870457025,4.64558646811692,-0.03248776354667
1025,1985,4.76261139158512,4.68887332455507,0.0737380670300452
