tau-22,tau-21,tau-20,tau-19,tau-18,tau-17,tau-16,tau-15,tau-14,tau-13,tau-12,tau-11,tau-10,tau-9,tau-8,tau-7,tau-6,tau-5,tau-4,tau-3,tau-2,tau-1,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,tau12,tau13
-0.02624179834168947,-0.026225285127188077,-0.006899666783901651,-0.0046449438772587556,0.0003007210012915766,-0.002730730436504827,0.007926308880465107,0.0056829678143919295,0.007074122316945898,-0.0030533093400947372,-0.005005826319885231,-0.0016763543509540199,-0.0016857066217906551,-0.002196578340115447,-0.0010287620153554544,0.0038194437055403614,0.0009062925533704021,0.0028673720957341493,0.004808600575909305,0.0019247937651346836,-0.0006397199981747166,-0.003517078297521675,0.014229535443878994,0.04295254263645187,0.04112779055353804,0.0379936888073178,0.042029763678927856,0.049092006863373956,0.05999521034135604,0.0745200606187384,0.08589574267892308,0.08912958704342348,0.07710558868076299,0.06497993924816567,0.05941587555057486,0.10816646201303669
-0.005636652675745279,0.011679942749316781,0.002797838189165213,0.0020617392065841577,0.0004268627353104971,0.005943502894532968,0.007429088988216111,0.0047184844072075795,0.007087837379490879,-0.0005377155438519114,-0.004414440240091543,-0.002472510788119835,-0.0037486417741539194,0.0026140074105622576,-0.001744665064075884,0.0017345120006889718,0.0005105110155366504,0.0022128198031805503,0.003849816831442695,0.00012994690059628467,0.00027969677416611415,0.0008883154078898874,0.023625761194042978,0.05146004889606095,0.051085002754801406,0.054685665715441555,0.05354869822573455,0.058567133011831425,0.06922618403613846,0.08963269101212637,0.10044028507973915,0.10352452204411708,0.0907208739732997,0.07643965148407696,0.0664119655003422,0.11115880780199124
-0.0071822863051491225,-0.008095667295101604,-0.0043857691949769064,-0.0027540433143406415,-0.0043979280405508645,0.004498366813255625,0.00582214943063604,0.004581163738794731,0.003040601772428502,-0.006599693776624222,-0.007332563763206634,-0.0062846010626626805,-0.00699896896632239,-0.0074770623588088034,-0.0024552710450204793,-0.0008352111177345496,-0.002530370402334089,0.003625908202891934,0.008801604396503146,0.011491812075999072,0.017474688207709206,0.02248834640611847,0.04778425345373677,0.07964346373914966,0.08758352399160216,0.10046576099794655,0.10855765771831016,0.12947502812588174,0.1464870906301308,0.15481998966241703,0.17784275584672435,0.17983414663957706,0.20142698864169178,0.20766265301794945,0.21288826514788173,0.207802196165102
-0.08441184773530216,-0.044589845486390195,-0.01461176112098225,-0.003585332146900546,0.0066765529691045706,0.007883730724568846,0.006377510212404495,0.006965462213264799,0.005974076936307515,-0.004019431479478121,-0.003222380129998307,-0.002499195631980483,-0.0027760547087943084,-0.0023234956430901277,-0.001328795115590912,-0.0008065071655533329,0.0025521716013538398,0.004644911143274091,0.009093532888611918,0.007088200455695943,0.0005758959494961537,-0.001592546781976713,0.024859360582446813,0.056954330878569534,0.05704673929791547,0.07124038206050315,0.08157585370075482,0.10119535575258118,0.12709625864226973,0.15936827963801198,0.18429075694427227,0.19198165466009207,0.18173023674701594,0.19175701683302016,0.19527994519019756,0.08635494712358105
-0.04850845340995666,-0.05820313441638754,-0.05219302072767524,-0.017160222535977824,-0.02422066407431512,-0.013100416307332467,-0.005820166381172495,0.002210662633553678,0.0025987359985468754,0.004154639967198507,1.2237351326870853e-5,-0.001656527881769448,0.004754765383594866,0.012916892652793957,0.021651131213016546,0.02520856440818649,0.026018834903606465,0.03196165836687208,0.039154987689519374,0.048398465265584,0.042382725054776235,0.040798464198576606,0.07073930366682862,0.0983985545941343,0.08730179995205649,0.08624001091759943,0.09096358523458452,0.09868435666659098,0.1133985537396149,0.13901657629672404,0.14760905075783706,0.1328020445918001,0.17005353299274112,0.16724529764608623,0.1403513738276536,0.1637644348421304
-0.10296289738441872,-0.055867310438930215,-0.05456348320253199,-0.03067188209855732,-0.044415829808507876,-0.04140770502221067,-0.031868686935231476,-0.011329962916988593,-0.009683103994496242,-0.008516895313079849,-0.012450641967405975,-0.0005876367939193093,0.0071751090399637535,0.015513910701592321,0.018220542432299036,0.027208263280052145,0.029615544489195466,0.03446756972323675,0.041963849744728755,0.04418645375009246,0.047212492132208905,0.06465059834267556,0.10506044714095594,0.14582143465392583,0.15482343027026857,0.1586454387661185,0.15962647321148868,0.17183386159403272,0.16863070867884405,0.17812896485712584,0.18346036263513016,0.18397061748011187,0.18526262363238746,0.18123306209603543,0.17566077967431357,0.28690211363803736
-0.0506858312563505,-0.03779918133410367,-0.028666325876686497,-0.012995306251565092,-0.00619441572523804,0.0028536001280967636,1.0562130320236842e-5,0.005959059396253252,0.002588431927967592,-0.0032409735399651246,-0.007849455837972183,-0.005545242435058192,-0.0028007864325516134,-0.004057527318120364,-0.0019993764675264635,0.00223992423193639,0.003994762282335766,-0.0006278033685491561,0.007530799166864161,0.0035736570521521503,0.006183232037232179,0.0032495365486642086,0.022149465251418175,0.052747231912016586,0.053216013665365096,0.05370083029809605,0.0584211692339944,0.06494494535591837,0.0759381025324509,0.1005121243856172,0.10680323252955484,0.09522668540676066,0.08391856577131465,0.04622605971822989,0.01090587863497847,0.04583251210022512
-0.08604371889138972,-0.0737638804349809,-0.04048020603194865,-0.03324094577879712,-0.02497426703640059,-0.021190644118820337,-0.0045302999398898515,-0.0010463827797405844,-0.001786014620851499,-0.0016148560075966085,-0.0005155865588042352,0.00324246856380342,0.007112210920074816,0.014162796909400139,0.022810721227654342,0.02974758165778582,0.028374185853979886,0.03720720322081135,0.0473871410390247,0.054141848022804716,0.05978468901358236,0.07027927707344715,0.09860156421858847,0.13161517168030853,0.12865112789152341,0.13072018091722204,0.13597191796255248,0.14156037566444585,0.14849713726642874,0.1588842051103371,0.16821770660984708,0.16295299711088646,0.18873950685418123,0.18839370981287204,0.1774842383357156,0.17565237503726114
0.02623500767686321,-0.0107345404285651,-0.007613558427561264,0.014036470561930747,0.011827585708683343,0.000892198576609442,0.008041481162377071,0.011704587725617471,0.00525957627106188,0.0036588653093319935,9.026819704529576e-6,-0.0007732081935668425,-0.0026815717001055306,0.00018200435207667097,-0.00445401995417682,-0.0004814106035537757,-0.0033249288236668647,-0.0026257019011574055,0.0022620489683672033,0.00196023661556189,0.005886802883531162,0.0024189526856217337,0.028458811686559036,0.05104843638157231,0.052915528649994395,0.05020294473698791,0.0571458088898676,0.06226803711698947,0.07912254796282825,0.10016466973628468,0.11157887358508223,0.09463379841380078,0.09862128063807363,0.08406591019497824,0.05938737094966174,0.0624780104578784
-0.01567714271664863,-0.018722327753298455,0.00993815276448887,0.012305293723231577,0.001240247957610983,0.00010248503182008539,0.008512329473626434,0.007871671279978055,0.010168511074493283,-0.003543260497454977,-0.007834699009150438,-0.010513807156889328,-0.005964267303431584,-0.005755281829337219,-0.006329970367046371,0.0035440950736477183,-0.00043390216099878804,0.005993174982955918,0.014845876140945955,0.019890376530390403,0.02768983322086363,0.029029751159023,0.0525249129068834,0.0798500897210809,0.08110776875506423,0.08913165866963167,0.09379896457065601,0.10167067957493675,0.1157901439449701,0.13136707234260683,0.14115570043487075,0.13513833553495727,0.15835379706662198,0.1313149249108841,0.1081073841618325,0.18370174081421148
