GISJOIN,YEAR,FSTATUS,REGION,DIVISION,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,AIANHHA,SEA,UATYPE,PLACDESC,CBD,AREANAME,SUPFLG01,SUPFPA03,SUPFLG04,SUPFLG05,SUPFLG06,PBSUM00,PBSUM01,PBSUM02,PBSUM03,PBSUM04,PBSUM05,PBSUM06,PBSUM07,PBSUM08,PBSUM09,PBSUM10,PBSUM11,PBSUM12,PBSUM13,PBSUM14,PBSUM15,PBSUM16,PBSUM17,PBSUM18,PBSUM19,PBSUM20,PBSUM21,PBSUM22,PBSUM23,PBSUM24,PBSUM25,PBSUM26,PBSUM27,PBSUM28,PBSUM29,PBSUM30,PBSUM31,PBSUM32,PBSUM33,PBSUM34,PBSUM35,PBSUM36,PBSUM37,PBSUM38,DR1001,DR1002,DR1003,DR1004,DR2001,DR2002,DR2003,DR2004,DR2005,DR2006,DR2007,DR2008,DR2009,DR2010,DR2011,DR2012,DR2013,DR3001,DR3002,DR3003,DR3004,DR3005,DR3006,DR3007,DR3008,DR3009,DR3010,DR3011,DR3012,DR3013,DR3014,DR3015,DR3016
"G0100010","1980","A","3","6","Alabama","01","5240","Autauga","001",,,,,,,"05",,,,"AUTAUGA COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",8735,2390,801,72,1072,1162,328,1028,2054,135,221,875,439,1949,1458,580,708,612,19,31,1276,1554,1466,655,566,1680,583,107,163,312,38,1756,1254
"G0100030","1980","A","3","6","Alabama","01","5160","Baldwin","003",,,,,,,"08",,,,"BALDWIN COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",20612,4094,2814,237,2768,2776,712,3125,3829,169,347,2466,1500,4459,2716,1700,1400,1225,384,109,2743,3283,2480,2242,1377,4565,1548,530,368,1026,198,4395,1395
"G0100050","1980","A","3","6","Alabama","01",,"Barbour","005",,,,,,,"09",,,,"BARBOUR COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",5545,1486,880,55,540,766,255,711,809,175,81,733,524,941,1412,447,537,413,15,54,527,1450,1294,411,270,1108,274,61,74,421,27,1265,352
"G0100070","1980","A","3","6","Alabama","01",,"Bibb","007",,,,,,,"05",,,,"BIBB COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1",3727,731,282,23,265,289,43,305,498,44,46,371,170,760,981,513,554,64,36,265,260,677,1410,239,84,599,99,47,49,132,3,652,188
"G0100090","1980","A","3","6","Alabama","01",,"Blount","009",,,,,,,"02",,,,"BLOUNT COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",9969,1717,1223,135,736,883,265,1090,1555,77,172,911,724,2636,1972,1080,986,730,42,423,1246,1679,2035,1144,630,1844,463,153,335,293,23,1626,417
"G0100110","1980","A","3","6","Alabama","01",,"Bullock","011",,,,,,,"06",,,,"BULLOCK COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1",1818,655,238,27,265,215,27,264,297,45,53,233,242,348,388,189,213,345,23,0,112,447,258,247,82,366,123,8,45,85,16,411,183
"G0100130","1980","A","3","6","Alabama","01",,"Butler","013",,,,,,,"09",,,,"BUTLER COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1",5148,1092,616,80,398,643,182,568,765,117,88,689,389,966,1358,538,399,270,39,18,434,1219,1388,334,148,1045,271,42,145,265,37,1158,281
"G0100150","1980","A","3","6","Alabama","01","0450","Calhoun","015",,,,,,,"03",,,,"CALHOUN COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","0","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",26905,10849,2235,148,3626,4117,963,3860,5633,465,577,4285,343,6012,5562,2118,2448,339,29,66,2075,5213,5082,2151,1770,6518,1613,506,639,1336,252,7660,5038
"G0100170","1980","A","3","6","Alabama","01",,"Chambers","017",,,,,,,"04",,,,"CHAMBERS COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",12186,1702,896,46,795,1087,308,1107,1983,132,181,1089,337,2364,3963,680,982,185,22,26,721,7317,1157,602,224,1558,344,121,147,400,52,1846,430
"G0100190","1980","A","3","6","Alabama","01",,"Cherokee","019",,,,,,,"03",,,,"CHEROKEE COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",5229,1106,667,32,261,495,142,419,791,23,70,498,402,1154,2030,319,446,412,14,10,411,2725,610,443,162,615,251,53,92,148,1,847,274
"G0100210","1980","A","3","6","Alabama","01",,"Chilton","021",,,,,,,"05",,,,"CHILTON COUNTY",,,,,,"1","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1",7832,1534,991,89,658,758,195,783,1287,81,121,768,452,2329,1421,789,780,354,28,104,1495,938,1948,1071,355,1331,357,110,159,285,12,1452,437
"G0100230","1980","A","3","6","Alabama","01",,"Choctaw","023",,,,,,,"07",,,,"CHOCTAW COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",3649,832,420,38,199,483,55,433,434,126,54,401,234,738,1067,345,438,85,57,197,240,1474,679,217,108,629,92,16,52,220,0,725,233
"G0100250","1980","A","3","6","Alabama","01",,"Clarke","025",,,,,,,"07",,,,"CLARKE COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1",6224,1449,740,32,592,760,224,729,1150,134,81,757,297,1268,1274,730,527,90,39,52,815,1885,1269,462,136,1247,410,67,74,308,11,1473,206
"G0100270","1980","A","3","6","Alabama","01",,"Clay","027",,,,,,,"04",,,,"CLAY COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1",3703,719,457,24,266,277,85,203,513,42,44,290,330,730,1389,315,472,196,1,6,262,1694,786,329,121,526,106,14,41,93,10,546,268
"G0100290","1980","A","3","6","Alabama","01",,"Cleburne","029",,,,,,,"04",,,,"CLEBURNE COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",3815,751,366,22,184,290,64,193,452,22,28,300,218,778,1543,449,459,161,51,0,392,1650,1034,200,76,370,85,15,65,116,7,495,278
"G0100310","1980","A","3","6","Alabama","01",,"Coffee","031",,,,,,,"09",,,,"COFFEE COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","0","0","1","1","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",9241,3171,1431,93,1095,1660,321,1325,1754,127,114,1141,774,2067,2181,575,834,771,14,33,903,2555,1350,1043,400,1983,584,131,207,419,38,2325,1236
"G0100330","1980","A","3","6","Alabama","01","2650","Colbert","033",,,,,,,"01",,,,"COLBERT COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",14260,5051,1171,42,1433,1972,585,1766,2932,171,349,1821,417,3593,2907,1188,1468,400,25,140,1344,2208,3956,1406,626,2880,660,313,248,545,134,3330,2431
"G0100350","1980","A","3","6","Alabama","01",,"Conecuh","035",,,,,,,"09",,,,"CONECUH COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1",3468,795,506,28,261,414,58,357,672,46,66,298,225,612,987,450,354,151,39,30,309,1170,817,402,132,608,115,48,75,143,0,611,180
"G0100370","1980","A","3","6","Alabama","01",,"Coosa","037",,,,,,,"04",,,,"COOSA COUNTY",,,,,,"1","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1",3145,617,317,7,232,218,101,184,394,13,33,333,137,563,1276,325,351,36,10,43,276,1586,726,146,110,377,64,38,33,113,0,434,170
"G0100390","1980","A","3","6","Alabama","01",,"Covington","039",,,,,,,"09",,,,"COVINGTON COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",9640,2052,1339,96,976,1111,269,1034,1846,99,195,1130,826,1924,2370,658,842,743,80,222,769,3242,903,837,750,1754,484,119,220,306,69,2321,539
"G0100410","1980","A","3","6","Alabama","01",,"Crenshaw","041",,,,,,,"09",,,,"CRENSHAW COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",3353,896,579,44,283,420,87,404,472,129,24,358,533,570,823,384,391,471,5,15,308,936,546,292,266,594,138,17,77,209,20,785,205
"G0100430","1980","A","3","6","Alabama","01",,"Cullman","043",,,,,,,"02",,,,"CULLMAN COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",16709,3354,2490,319,1831,1920,561,1907,2382,51,191,1773,1505,3691,3914,1535,1563,1668,17,287,1749,2939,4295,1242,1066,3300,755,285,334,532,100,3578,785
"G0100450","1980","A","3","6","Alabama","01",,"Dale","045",,,,,,,"09",,,,"DALE COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",9011,3483,1038,84,1086,1592,355,1352,1871,160,231,1498,544,2353,1366,553,638,463,32,12,974,1448,1169,1355,388,2322,580,207,322,506,87,2442,1312
"G0100470","1980","A","3","6","Alabama","01",,"Dallas","047",,,,,,,"06",,,,"DALLAS COUNTY",,,,,,"1","1","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1",13019,3152,1146,96,1397,2012,407,1636,2401,350,205,1791,612,2120,2495,994,1021,621,23,61,1182,2309,2545,921,600,2439,806,163,332,742,62,3818,827
"G0100490","1980","A","3","6","Alabama","01",,"DeKalb","049",,,,,,,"02",,,,"DE KALB COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",15078,2515,2263,223,990,1432,376,1381,1939,90,177,1296,1309,3145,5226,1373,1394,1312,5,280,1385,6044,2621,1254,567,2284,464,191,337,465,95,2375,499
"G0100510","1980","A","3","6","Alabama","01","5240","Elmore","051",,,,,,,"05",,,,"ELMORE COUNTY",,,,,,"1","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",10563,3875,1167,28,1523,1617,489,1272,2593,98,248,1193,502,2522,1805,850,904,575,105,42,1501,1939,1438,1253,791,2058,800,202,278,344,60,2556,1785
"G0100530","1980","A","3","6","Alabama","01",,"Escambia","053",,,,,,,"08",,,,"ESCAMBIA COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1",8932,2538,913,72,942,1326,178,1125,1381,207,232,1050,478,1868,1976,868,784,398,59,311,968,2339,1229,658,476,1804,406,102,210,405,60,2031,1011
"G0100550","1980","A","3","6","Alabama","01","2880","Etowah","055",,,,,,,"03",,,,"ETOWAH COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",28438,5491,2447,170,2646,3544,844,3678,4722,271,508,3611,519,5756,5191,2532,2878,455,5,86,2092,6263,6279,2345,1205,5895,1413,394,627,1027,200,6625,1868
"G0100570","1980","A","3","6","Alabama","01",,"Fayette","057",,,,,,,"05",,,,"FAYETTE COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1",5233,1140,593,46,410,545,124,391,613,37,78,419,322,1192,1826,561,472,154,14,450,462,1913,1244,304,102,795,101,8,122,147,38,984,179
"G0100590","1980","A","3","6","Alabama","01",,"Franklin","059",,,,,,,"05",,,,"FRANKLIN COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",7417,1926,844,58,619,920,197,727,982,20,86,858,338,1743,2219,799,666,227,2,109,740,1807,2390,452,223,1213,382,83,129,218,14,1646,633
"G0100610","1980","A","3","6","Alabama","01",,"Geneva","061",,,,,,,"09",,,,"GENEVA COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1",6229,1402,1012,85,545,559,238,611,880,96,93,727,713,1488,1671,472,653,768,4,58,544,2044,728,649,601,1091,220,73,164,270,36,1097,452
"G0100630","1980","A","3","6","Alabama","01",,"Greene","063",,,,,,,"06",,,,"GREENE COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",1545,935,278,4,123,365,30,283,362,70,29,362,218,219,259,198,226,191,28,0,264,313,134,150,50,377,68,0,33,136,131,717,180
"G0100650","1980","A","3","6","Alabama","01",,"Hale","065",,,,,,,"06",,,,"HALE COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","0","1","0","1","1","1","1","0","0","1","1","1","1",2569,1298,375,29,247,343,68,275,436,76,27,490,405,521,573,367,431,384,15,12,270,766,381,262,319,444,107,30,31,152,32,937,141
"G0100670","1980","A","3","6","Alabama","01",,"Henry","067",,,,,,,"09",,,,"HENRY COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",3912,907,639,71,325,435,97,394,719,44,59,411,589,637,1028,365,411,536,17,0,423,1114,633,441,179,712,146,48,104,151,2,859,174
"G0100690","1980","A","3","6","Alabama","01",,"Houston","069",,,,,,,"09",,,,"HOUSTON COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",23037,4109,2499,192,3068,3138,829,3531,4232,286,397,2573,1105,4439,3279,1571,1614,1156,9,21,2540,3531,3064,2845,1666,5441,1496,578,532,1025,219,4750,1240
"G0100710","1980","A","3","6","Alabama","01",,"Jackson","071",,,,,,,"02",,,,"JACKSON COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",12978,4719,1355,123,1066,1651,569,1381,1974,123,224,1350,645,3393,4128,1246,1363,534,30,174,1421,4569,2864,1902,526,2262,569,171,250,394,47,2382,1177
"G0100730","1980","A","3","6","Alabama","01","1000","Jefferson","073",,,,,,,"A",,,,"JEFFERSON COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",208002,41871,11082,883,28360,33721,8704,30180,52087,2476,3807,24535,1370,32502,17094,13891,14231,1217,68,4563,14360,11155,36912,25814,16396,41492,19920,7038,3198,9479,1705,58414,11623
"G0100750","1980","A","3","6","Alabama","01",,"Lamar","075",,,,,,,"05",,,,"LAMAR COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",4839,878,457,40,296,486,100,369,568,31,54,462,168,984,1927,463,364,115,10,81,374,1464,1650,411,134,582,173,7,95,142,19,850,166
"G0100770","1980","A","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,"01",,,,"LAUDERDALE COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","1","1","1","1","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",20896,7491,2113,181,2761,3228,944,3092,4107,209,406,2802,797,5222,3946,1514,1805,719,21,31,2145,2897,5224,1966,861,5052,1241,349,407,972,197,5656,3133
"G0100790","1980","A","3","6","Alabama","01",,"Lawrence","079",,,,,,,"01",,,,"LAWRENCE COUNTY",,,,,,"1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1",7256,1630,786,71,541,544,208,569,945,49,83,855,629,1651,2362,719,638,674,12,74,898,2534,1623,374,219,940,283,151,132,187,28,1270,453
"G0100810","1980","A","3","6","Alabama","01",,"Lee","081",,,,,,,"04",,,,"LEE COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","1","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",19460,8117,1374,80,2526,4904,1074,2520,4433,319,416,2766,674,3404,3524,1059,1448,660,71,24,1486,4754,2729,1267,621,4856,1013,505,356,912,192,8593,1166
"G0100830","1980","A","3","6","Alabama","01","3440","Limestone","083",,,,,,,"01",,,,"LIMESTONE COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",11786,3607,1315,114,1153,1329,452,1256,1972,192,223,1502,786,2832,3103,897,1026,842,11,22,1161,2739,2980,734,708,2259,454,298,227,635,42,2230,1568
"G0100850","1980","A","3","6","Alabama","01",,"Lowndes","085",,,,,,,"06",,,,"LOWNDES COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1",2201,719,345,27,184,217,48,224,385,103,49,302,367,329,439,268,324,374,13,21,439,331,293,164,174,414,79,60,50,148,3,510,208
"G0100870","1980","A","3","6","Alabama","01",,"Macon","087",,,,,,,"05",,,,"MACON COUNTY",,,,,,"1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1",3524,3006,391,12,516,1274,256,429,1160,81,127,1160,287,522,515,251,391,247,46,21,327,411,363,258,109,705,186,40,62,270,39,3363,487
"G0100890","1980","A","3","6","Alabama","01","3440","Madison","089",,,,,,,"F",,,,"MADISON COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",52519,21683,4109,391,9090,14359,3704,7711,12972,611,1199,7094,1199,8382,7587,2183,2631,1347,34,93,3979,4066,13319,3399,2247,12513,3327,3833,1012,2315,653,15876,10835
"G0100910","1980","A","3","6","Alabama","01",,"Marengo","091",,,,,,,"06",,,,"MARENGO COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1",5365,1469,533,38,507,698,174,577,812,171,86,664,397,991,1169,525,630,297,35,0,363,1763,957,580,363,911,253,40,70,297,15,1184,345
"G0100930","1980","A","3","6","Alabama","01",,"Marion","093",,,,,,,"05",,,,"MARION COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",8761,1457,1052,101,645,769,139,900,1191,52,108,822,340,1704,3071,898,802,262,21,501,459,2865,2596,652,340,1294,270,73,127,270,20,1373,394
"G0100950","1980","A","3","6","Alabama","01","3440","Marshall","095",,,,,,,"02",,,,"MARSHALL COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",17669,4132,2292,165,1922,2155,606,2489,2674,154,188,2226,854,3680,4173,1394,1729,935,38,58,1552,4501,3599,1277,982,4427,823,366,423,660,60,3112,1553
"G0100970","1980","A","3","6","Alabama","01","5160","Mobile","097",,,,,,,"D",,,,"MOBILE COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",100050,21483,6940,389,12463,14924,4104,14867,20601,1294,2233,12408,2090,20809,9647,6971,7973,1459,676,676,12470,14468,11609,10595,7051,21574,7610,3165,1805,4269,1078,25573,6090
"G0100990","1980","A","3","6","Alabama","01",,"Monroe","099",,,,,,,"09",,,,"MONROE COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1",5418,1206,464,56,502,679,151,572,923,138,96,647,388,871,1217,570,518,265,69,26,517,1872,898,308,142,1012,231,34,84,255,12,1257,276
"G0101010","1980","A","3","6","Alabama","01","5240","Montgomery","101",,,,,,,"C",,,,"MONTGOMERY COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",48823,20755,3885,259,9293,10618,2364,8334,14363,1118,1265,7811,932,7426,4174,2919,3369,1046,95,123,5068,3621,4799,4452,3631,12970,5067,1688,1068,3295,711,16677,9566
"G0101030","1980","A","3","6","Alabama","01",,"Morgan","103",,,,,,,"01",,,,"MORGAN COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",26707,5848,2307,189,3268,3785,1301,3262,5043,138,358,3405,652,5453,5130,1672,1640,694,34,83,2428,5006,6266,2046,1484,5283,1729,632,491,879,183,6005,2015
"G0101050","1980","A","3","6","Alabama","01",,"Perry","105",,,,,,,"06",,,,"PERRY COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1",2574,1044,358,25,251,480,41,357,406,62,46,487,375,316,600,308,241,343,10,12,222,533,458,149,201,496,127,33,33,150,0,994,247
"G0101070","1980","A","3","6","Alabama","01",,"Pickens","107",,,,,,,"05",,,,"PICKENS COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",5133,1118,575,63,348,506,119,425,634,98,69,506,434,875,1643,536,651,416,16,67,461,1330,1412,387,246,728,139,43,118,185,10,1113,227
"G0101090","1980","A","3","6","Alabama","01",,"Pike","109",,,,,,,"09",,,,"PIKE COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",6581,2608,711,56,725,1014,215,988,1222,182,140,1069,493,1127,1626,563,617,480,11,20,882,1665,736,626,452,1510,353,59,100,401,20,2240,492
"G0101110","1980","A","3","6","Alabama","01",,"Randolph","111",,,,,,,"04",,,,"RANDOLPH COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1",5333,957,673,48,352,495,87,403,627,65,44,541,389,935,2099,388,575,244,8,18,434,2444,1065,290,183,749,168,13,87,163,12,981,183
"G0101130","1980","A","3","6","Alabama","01","1800","Russell","113",,,,,,,"B",,,,"RUSSELL COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",12951,2607,801,129,1075,1174,316,1421,2289,308,207,1483,298,2603,3144,963,1250,361,10,19,1213,4230,1472,1118,627,2142,819,241,240,672,87,2456,885
"G0101150","1980","A","3","6","Alabama","01","1000","St Clair","115",,,,,,,"03",,,,"ST. CLAIR COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",11787,2084,978,81,1241,1087,375,1333,2106,52,114,1015,351,2676,2367,1186,1014,292,19,116,1381,1421,3519,1310,657,1892,745,247,266,278,57,2016,802
"G0101170","1980","A","3","6","Alabama","01","1000","Shelby","117",,,,,,,"03",,,,"SHELBY COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",21015,3464,1528,86,3438,3168,778,3028,4454,122,319,1765,487,3602,2316,1304,1344,388,18,327,2127,1392,4368,2955,1647,3762,2006,584,391,517,170,4584,899
"G0101190","1980","A","3","6","Alabama","01",,"Sumter","119",,,,,,,"06",,,,"SUMTER COUNTY",,,,,,"1","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1",3213,1127,449,22,400,532,101,253,583,177,51,525,289,494,686,335,419,236,12,9,208,706,835,304,89,554,186,14,22,239,43,1105,225
"G0101210","1980","A","3","6","Alabama","01",,"Talladega","121",,,,,,,"03",,,,"TALLADEGA COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",18266,5146,1253,93,1687,2131,626,2003,3107,217,335,2277,490,3678,4815,1367,2165,410,26,272,1366,6776,2840,1515,554,3172,783,241,297,720,120,4496,1460
