GISJOIN,YEAR,FSTATUS,REGION,DIVISION,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,AIANHHA,SEA,UATYPE,PLACDESC,CBD,AREANAME,SUPFLG01,SUPFPA03,SUPFLG04,SUPFLG05,SUPFLG06,PBSUM00,PBSUM01,PBSUM02,PBSUM03,PBSUM04,PBSUM05,PBSUM06,PBSUM07,PBSUM08,PBSUM09,PBSUM10,PBSUM11,PBSUM12,PBSUM13,PBSUM14,PBSUM15,PBSUM16,PBSUM17,PBSUM18,PBSUM19,PBSUM20,PBSUM21,PBSUM22,PBSUM23,PBSUM24,PBSUM25,PBSUM26,PBSUM27,PBSUM28,PBSUM29,PBSUM30,PBSUM31,PBSUM32,PBSUM33,PBSUM34,PBSUM35,PBSUM36,PBSUM37,PBSUM38,DR1001,DR1002,DR1003,DR1004,DR2001,DR2002,DR2003,DR2004,DR2005,DR2006,DR2007,DR2008,DR2009,DR2010,DR2011,DR2012,DR2013,DR3001,DR3002,DR3003,DR3004,DR3005,DR3006,DR3007,DR3008,DR3009,DR3010,DR3011,DR3012,DR3013,DR3014,DR3015,DR3016
"G3500110","1980","A","4","8","New Mexico","35",,"De Baca","011",,,,,,,"02",,,,"DE BACA COUNTY",,,,,,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1",521,185,174,17,65,64,22,68,69,7,6,118,218,117,24,67,48,222,0,5,85,12,12,91,14,152,36,4,19,24,7,161,50
"G3500130","1980","A","4","8","New Mexico","35","4100","Dona Ana","013",,,,,,,"03",,,,"DONA ANA COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",18913,10962,2580,205,2858,5102,1486,3145,5381,269,694,3136,1981,3675,1626,1301,1761,2203,6,153,2890,1731,954,1702,951,5159,1626,796,575,1136,552,8286,3843
"G3500150","1980","A","4","8","New Mexico","35",,"Eddy","015",,,,,,,"03",,,,"EDDY COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",13197,2573,1327,71,1352,1520,439,1688,2166,180,141,2017,668,4196,672,1232,911,666,15,4246,1166,732,326,1206,441,2829,682,202,261,721,97,2811,831
"G3500170","1980","A","4","8","New Mexico","35",,"Grant","017",,,,,,,"03",,,,"GRANT COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",6411,1874,532,70,562,1017,176,652,1012,38,165,1083,288,1976,391,835,645,276,192,2734,526,76,285,372,139,1455,217,37,132,243,46,1863,326
"G3500190","1980","A","4","8","New Mexico","35",,"Guadalupe","019",,,,,,,"02",,,,"GUADALUPE COUNTY",,,,,,"1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1",733,412,156,16,179,117,14,113,142,7,17,319,103,103,14,68,132,100,9,5,132,10,2,101,9,462,27,4,23,96,6,231,103
"G3500210","1980","A","4","8","New Mexico","35",,"Harding","021",,,,,,,"02",,,,"HARDING COUNTY",,,,,,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1",177,114,96,18,27,26,10,13,24,2,6,48,120,56,11,38,29,120,0,4,48,44,0,12,25,49,8,0,7,6,0,57,30
"G3500230","1980","A","4","8","New Mexico","35",,"Hidalgo","023",,,,,,,"03",,,,"HIDALGO COUNTY",,,,,,"1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1",1447,323,153,7,170,141,40,230,183,15,28,294,195,272,104,139,139,200,9,78,128,10,427,79,36,429,58,12,52,55,11,264,105
"G3500250","1980","A","4","8","New Mexico","35",,"Lea","025",,,,,,,"03",,,,"LEA COUNTY",,,,,,"1","1","1","1","1","1","0","1","1","0","0","0","1","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",18389,2310,1701,110,1757,1839,471,2549,2957,119,219,1781,816,5678,1031,2102,1206,864,0,6062,1939,944,302,1875,770,3594,1026,424,594,591,98,2849,643
"G3500270","1980","A","4","8","New Mexico","35",,"Lincoln","027",,,,,,,"03",,,,"LINCOLN COUNTY",,,,,,"1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1",2473,964,489,51,373,492,84,513,524,54,84,551,217,649,68,161,189,193,61,42,510,38,37,378,36,853,244,46,84,323,137,758,205
"G3500280","1980","A","4","8","New Mexico","35",,"Los Alamos","028",,,,,,,"01",,,,"LOS ALAMOS COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",3233,5222,441,24,832,3099,1409,474,1352,25,150,478,34,668,137,111,50,20,0,0,441,113,28,95,21,847,245,4994,17,156,66,1519,335
