b,dgp_num,T_0,estimator,true_te,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p
10,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.992698862055759,0.17242442248427764,4.654746993986575,5.330650730124943,NA
10,1,4,QLD ($p$ known),1,0,-3.8668677901190938,3.880257237801508,-11.47217197621005,3.738436395971862,2
10,1,4,QLD ($p$ estimated),1,0,-3.8668677901190938,3.880257237801508,-11.47217197621005,3.738436395971862,2
11,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.8530439726133165,0.1709208153387189,4.518039174549427,5.188048770677206,NA
11,1,4,QLD ($p$ known),1,0,7.070859359138951,6.049582225856083,-4.786321803538972,18.928040521816875,2
11,1,4,QLD ($p$ estimated),1,0,7.070859359138951,6.049582225856083,-4.786321803538972,18.928040521816875,2
12,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.885612174296831,0.17639799056807057,4.539872112783413,5.23135223581025,NA
12,1,4,QLD ($p$ known),1,0,-0.7134868900010207,2.177294958043661,-4.980985007766597,3.554011227764555,2
12,1,4,QLD ($p$ estimated),1,0,-1.6785801089573489,1.3690927201444785,-4.362001840440526,1.004841622525829,1
13,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.896457977064889,0.17089470921677655,4.561504347000008,5.231411607129771,NA
13,1,4,QLD ($p$ known),1,0,-3.2013002715083587,4.583696433936963,-12.185345282024803,5.782744739008088,2
13,1,4,QLD ($p$ estimated),1,0,-3.2013002715083587,4.583696433936963,-12.185345282024803,5.782744739008088,2
14,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.74819792439052,0.18467075190895427,4.3862432506489695,5.11015259813207,NA
14,1,4,QLD ($p$ known),1,0,0.7599091261055615,1.428395685448666,-2.039746417373824,3.559564669584947,2
14,1,4,QLD ($p$ estimated),1,0,0.7599091261055615,1.428395685448666,-2.039746417373824,3.559564669584947,2
15,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.476744563490187,0.18226648952444935,4.119502244022266,4.833986882958108,NA
15,1,4,QLD ($p$ known),1,0,-2.4327401966511757,7.534825214991896,-17.20099761803529,12.33551722473294,2
15,1,4,QLD ($p$ estimated),1,0,-3.0710771315069825,2.0299047049338927,-7.049690353177413,0.9075360901634472,1
16,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.334276073666286,0.1648562431629515,4.011157837066902,4.657394310265671,NA
16,1,4,QLD ($p$ known),1,0,-1.6702178643246486,2.3294072769110716,-6.235856127070349,2.8954203984210523,2
16,1,4,QLD ($p$ estimated),1,0,-1.628084521185882,1.4770224402344878,-4.523048504045478,1.2668794616737142,1
17,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.058254257970993,0.1986876338999387,4.668826495527113,5.447682020414873,NA
17,1,4,QLD ($p$ known),1,0,-1.8122408244444561,2.9906991111640764,-7.674011082326046,4.049529433437134,2
17,1,4,QLD ($p$ estimated),1,0,-3.536563003074836,2.3611389221578345,-8.164395290504192,1.0912692843545195,1
18,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.964857442534557,0.18792868556325057,4.596517218830586,5.333197666238528,NA
18,1,4,QLD ($p$ known),1,0,-0.08751668962211455,2.9084038864266377,-5.787988307018325,5.612954927774095,2
18,1,4,QLD ($p$ estimated),1,0,-0.08751668962211455,2.9084038864266377,-5.787988307018325,5.612954927774095,2
